"team","round","opponent","win"
"Head Royce PC","Round 1","Eagle GW",1
"Rowland Hall LG","Round 1","Lionel Wilson HS",1
"SVDP HM","Round 1","Interlake LL",1
"College Prep HS","Round 1","OES GR",0
"Interlake DS","Round 1","Boise DR",1
"Juan Diego AB","Round 1","West GT",1
"Juan Diego DM","Round 1","Logan JD",1
"Meadows BN","Round 1","Capital LL",1
"Notre Dame CF","Round 1","Green River CR",1
"Skyline HL","Round 1","Ingraham JK",1
"Bingham WW","Round 1","Hillcrest OM",1
"Boise ML","Round 1","Rowland Hall BM",0
"College Prep MR","Round 1","Ingraham GW",0
"Denver Independent RW","Round 1","Brighton OR",1
"Desert Vista LQ","Round 1","George Washington MK",1
"Eagle CW","Round 1","West MP",1
"George Washington AC","Round 1","Logan AC",1
"Glenbrook North JK","Round 1","Bingham HM",0
"Glenbrook North LM","Round 1","GPS PK",1
"Highland GO","Round 1","Copper Hills BT",1
"Interlake GJ","Round 1","Green River BH",1
"Interlake HY","Round 1","Sky View CS",1
"Interlake LL","Round 1","SVDP HM",0
"Notre Dame AM","Round 1","Green River NW",1
"Notre Dame He","Round 1","Head Royce HW",1
"OES LJ","Round 1","College Prep LN",1
"Renaissance DM","Round 1","Bonneville LD",0
"Rowland Hall BL","Round 1","Brighton WJ",1
"Rowland Hall BM","Round 1","Boise ML",1
"Sky View ML","Round 1","Lone Peak MK",1
"West BL","Round 1","Juan Diego CS",1
"College Prep CG","Round 1","Albuquerque AS",1
"Boise SV","Round 1","Green River LL",1
"Centennial TW","Round 1","SVDP PR",0
"College Prep HW","Round 1","Sage Ridge KR",1
"College Prep MH","Round 1","Rowland Hall NB",1
"Copper Hills WL","Round 1","Juan Diego MP",1
"Ingraham GW","Round 1","College Prep MR",1
"Ingraham JK","Round 1","Skyline HL",0
"Kent Denver KK","Round 1","Centennial HH",1
"Sage Ridge KR","Round 1","College Prep HW",0
"West TG","Round 1","Juan Diego AB",0
"Centennial MX","Round 1","Green River MM",1
"Bingham HM","Round 1","Glenbrook North JK",1
"Capital LL","Round 1","Meadows BN",0
"Copper Hills BT","Round 1","Highland GO",0
"Eagle EE","Round 1","Copper Hills LI",1
"George Washington MK","Round 1","Desert Vista LQ",0
"Hillcrest OM","Round 1","Bingham WW",0
"Juan Diego MP","Round 1","Copper Hills WL",0
"Layton NL","Round 1","Kearns PA",1
"Lionel Wilson HS","Round 1","Rowland Hall LG",0
"Littleton LS","Round 1","Bingham SS",0
