"team","round","opponent","win"
"College Prep XK","Round 1","Loyola CC",1
"Loyola GT","Round 1","College Prep CG",1
"Brophy SS","Round 1","Damien AY",1
"College Prep JM","Round 1","Lowell DZ",1
"College Prep TH","Round 1","McClintock GW",1
"Damien JR","Round 1","BASIS Chandler BP",1
"Green Valley SA","Round 1","Bishop O'Dowd HJ",1
"Leland VV","Round 1","College Prep MD",1
"Polytechnic HM","Round 1","West LP",1
"West AB","Round 1","Palo Verde QS",1
"Bingham SS","Round 1","Logan AC",1
"Bingham WW","Round 1","Polytechnic WX",1
"Brophy GS","Round 1","Albuquerque AS",1
"Chandler CS","Round 1","Copper Hills BT",1
"Chandler Prep FG","Round 1","Los Alamos WZ",1
"College Prep CG","Round 1","Loyola GT",0
"College Prep MR","Round 1","Coronado HS",1
"Coronado HS","Round 1","College Prep MR",0
"Damien AY","Round 1","Brophy SS",0
"Damien MP","Round 1","Kent Denver MC",1
"Desert Vista LQ","Round 1","Hamilton VK",1
"Hamilton FZ","Round 1","Polytechnic FD",1
"Hamilton VK","Round 1","Desert Vista LQ",0
"Los Alamos RW","Round 1","BYE",1
"Polytechnic WX","Round 1","Bingham WW",0
"Sky View LM","Round 1","Salpointe Catholic MT",0
"West LP","Round 1","Polytechnic HM",0
"Albuquerque AS","Round 1","Brophy GS",0
"College Prep HW","Round 1","La Cueva GH",0
"College Prep MD","Round 1","Leland VV",0
"Copper Hills BT","Round 1","Chandler CS",0
"Copper Hills LW","Round 1","Hamilton JR",1
"Kent Denver KK","Round 1","Corona del Sol FZ",1
"Kent Denver MC","Round 1","Damien MP",0
"La Cueva GH","Round 1","College Prep HW",1
"Lowell CL","Round 1","Palo Verde SW",1
"McClintock GW","Round 1","College Prep TH",0
"Robert McQueen RR","Round 1","Layton NL",1
"Salpointe Catholic MT","Round 1","Sky View LM",1
"Bishop O'Dowd HJ","Round 1","Green Valley SA",0
"Chandler AN","Round 1","Juan Diego MP",1
"College Prep NL","Round 1","Hamilton SI",1
"College Prep ZS","Round 1","Copper Hills MN",0
"Copper Hills MN","Round 1","College Prep ZS",1
"Cupertino AT","Round 1","Los Alamos CP",1
"Desert Vista AG","Round 1","Coronado RS",1
"Green Valley SS","Round 1","La Cueva EJ",1
"Hamilton SI","Round 1","College Prep NL",0
"La Cueva EJ","Round 1","Green Valley SS",0
"Layton NL","Round 1","Robert McQueen RR",0
"Los Alamos WZ","Round 1","Chandler Prep FG",0
"Loyola CC","Round 1","College Prep XK",0
"Palo Verde QS","Round 1","West AB",0
"Palo Verde SW","Round 1","Lowell CL",0
"Polytechnic FD","Round 1","Hamilton FZ",0
"Sky View CS","Round 1","West JL",1
"BASIS Chandler BP","Round 1","Damien JR",0
"BASIS Chandler KK","Round 1","Hamilton JK",0
"Coronado RS","Round 1","Desert Vista AG",0
"Hamilton JK","Round 1","BASIS Chandler KK",1
"Hamilton JR","Round 1","Copper Hills LW",0
"Juan Diego MP","Round 1","Chander AN",0
"Logan AC","Round 1","Bingham SS",0
"Los Alamos CP","Round 1","Cupertino AT",0
"Lowell DZ","Round 1","College Prep JM",0
"West JL","Round 1","Sky View CS",0
"Corona del Sol FZ","Round 1","Kent Denver KK",0
"College Prep XK","Round 2","Cupertino AT",1
"Loyola GT","Round 2","Bingham WW",1
"Brophy SS","Round 2","Sky View CS",1
"College Prep JM","Round 2","BASIS Chandler BP",1
"College Prep TH","Round 2","Chandler AN",1
"Damien JR","Round 2","Albuquerque AS",1
"Green Valley SA","Round 2","Salpointe Catholic MT",1
"Leland VV","Round 2","Hamilton VK",1
"Polytechnic HM","Round 2","College Prep ZS",1
"West AB","Round 2","Corona del Sol FZ",1
"Bingham SS","Round 2","La Cueva EJ",1
"Bingham WW","Round 2","Loyola GT",0
"Brophy GS","Round 2","Coronado RS",1
"Chandler CS","Round 2","Bishop O'Dowd HJ",1
"Chandler Prep FG","Round 2","College Prep MR",1
"College Prep CG","Round 2","Los Alamos WZ",1
"College Prep MR","Round 2","Chandler Prep FG",0
"Coronado HS","Round 2","West LP",0
"Damien AY","Round 2","BASIS Chandler KK",1
"Damien MP","Round 2","Logan AC",1
"Desert Vista LQ","Round 2","Robert McQueen RR",1
"Hamilton FZ","Round 2","Green Valley SS",1
"Hamilton VK","Round 2","Leland VV",0
"Los Alamos RW","Round 2","La Cueva GH",1
"Polytechnic WX","Round 2","Copper Hills MN",1
"Sky View LM","Round 2","Lowell DZ",1
"West LP","Round 2","Coronado HS",1
"Albuquerque AS","Round 2","Damien JR",0
"College Prep HW","Round 2","Hamilton JK",1
"College Prep MD","Round 2","Polytechnic FD",1
"Copper Hills BT","Round 2","Loyola CC",0
"Copper Hills LW","Round 2","Los Alamos CP",1
"Kent Denver KK","Round 2","College Prep NL",1
"Kent Denver MC","Round 2","Layton NL",0
"La Cueva GH","Round 2","Los Alamos RW",0
"Lowell CL","Round 2","McClintock GW",0
"McClintock GW","Round 2","Lowell CL",1
"Robert McQueen RR","Round 2","Desert Vista LQ",0
"Salpointe Catholic MT","Round 2","Green Valley SA",0
"Bishop O'Dowd HJ","Round 2","Chandler CS",0
"Chandler AN","Round 2","College Prep TH",0
"College Prep NL","Round 2","Kent Denver KK",0
"College Prep ZS","Round 2","Polytechnic HM",0
"Copper Hills MN","Round 2","Polytechnic WX",0
"Cupertino AT","Round 2","College Prep XK",0
"Desert Vista AG","Round 2","Hamilton JR",0
"Green Valley SS","Round 2","Hamilton FZ",0
"Hamilton SI","Round 2","BYE",1
"La Cueva EJ","Round 2","Bingham SS",0
"Layton NL","Round 2","Kent Denver MC",1
"Los Alamos WZ","Round 2","College Prep CG",0
"Loyola CC","Round 2","Copper Hills BT",1
"Palo Verde QS","Round 2","Juan Diego MP",1
"Palo Verde SW","Round 2","West JL",1
"Polytechnic FD","Round 2","College Prep MD",0
"Sky View CS","Round 2","Brophy SS",0
"BASIS Chandler BP","Round 2","College Prep JM",0
"BASIS Chandler KK","Round 2","Damien AY",0
"Coronado RS","Round 2","Brophy GS",0
"Hamilton JK","Round 2","College Prep HW",0
"Hamilton JR","Round 2","Desert Vista AG",1
"Juan Diego MP","Round 2","Palo Verde QS",0
"Logan AC","Round 2","Damien MP",0
"Los Alamos CP","Round 2","Copper Hills LW",0
"Lowell DZ","Round 2","Sky View LM",0
"West JL","Round 2","Palo Verde SW",0
"Corona del Sol FZ","Round 2","West AB",0
"College Prep XK","Round 3","Chandler Prep FG",1
"Loyola GT","Round 3","Copper Hills LW",1
"Brophy SS","Round 3","Hamilton FZ",0
"College Prep JM","Round 3","Desert Vista LQ",1
"College Prep TH","Round 3","Leland VV",0
"Damien JR","Round 3","Polytechnic HM",0
"Green Valley SA","Round 3","Damien MP",0
"Leland VV","Round 3","College Prep TH",1
"Polytechnic HM","Round 3","Damien JR",1
"West AB","Round 3","Bingham SS",1
"Bingham SS","Round 3","West AB",0
"Bingham WW","Round 3","Layton NL",1
"Brophy GS","Round 3","Kent Denver KK",1
"Chandler CS","Round 3","Los Alamos RW",1
"Chandler Prep FG","Round 3","College Prep XK",0
"College Prep CG","Round 3","Chandler AN",1
"College Prep MR","Round 3","Robert McQueen RR",1
"Coronado HS","Round 3","Logan AC",1
"Damien AY","Round 3","Desert Vista AG",1
"Damien MP","Round 3","Green Valley SA",1
"Desert Vista LQ","Round 3","College Prep JM",0
"Hamilton FZ","Round 3","Brophy SS",1
"Hamilton VK","Round 3","West JL",1
"Los Alamos RW","Round 3","Chandler CS",0
"Polytechnic WX","Round 3","Cupertino AT",1
"Sky View LM","Round 3","Palo Verde QS",1
"West LP","Round 3","Hamilton JK",1
"Albuquerque AS","Round 3","BASIS Chandler KK",1
"College Prep HW","Round 3","Palo Verde SW",1
"College Prep MD","Round 3","Loyola CC",1
"Copper Hills BT","Round 3","Coronado RS",1
"Copper Hills LW","Round 3","Loyola GT",0
"Kent Denver KK","Round 3","Brophy GS",0
"Kent Denver MC","Round 3","Polytechnic FD",1
"La Cueva GH","Round 3","Green Valley SS",1
"Lowell CL","Round 3","Copper Hills MN",0
"McClintock GW","Round 3","Sky View CS",1
"Robert McQueen RR","Round 3","College Prep MR",0
"Salpointe Catholic MT","Round 3","Hamilton SI",1
