"team","round","opponent","win"
"New Trier BK","Round 1","Evergreen AC",1
"McDonogh JN","Round 1","Rowland Hall LG",1
"Skyline HL","Round 1","Hamilton ZF",1
"Lincoln Prep BM","Round 1","Lynbrook MC",1
"SVDP HM","Round 1","Nevada Union FH",1
"Rowland Hall LG","Round 1","McDonogh JN",0
"Clovis North PH","Round 1","Bingham SS",1
"East Kentwood BO","Round 1","Loyola GT",0
"Kinkaid BY","Round 1","Jesuit Prep HL",0
"Walter Payton BC","Round 1","Whitney Young RJ",0
"Bellarmine PA","Round 1","Fairview LL",1
"Notre Dame CP","Round 1","Chaminade TA",1
"Atholton KS","Round 1","University CR",1
"Katy Taylor AL","Round 1","Highland Park (TX) CP",1
"Lane Tech HV","Round 1","Bellarmine N",1
"Katy Taylor BI","Round 1","SVDP PR",1
"CK McClatchy HN","Round 1","Denver East YO",1
"Polytechnic WX","Round 1","Lowell CL",1
"University (NJ) MB","Round 1","GW AC",1
"Juan Diego AB","Round 1","BYE",1
"CK McClatchy BF","Round 1","Damien HB",1
"New Trier HS","Round 1","Chaminade AL",1
"CK McClatchy LP","Round 1","Cypress Bay VS",1
"Head Royce CP","Round 1","Brophy SS",1
"Chandler CS","Round 1","Centennial LP",1
"Lindale RT","Round 1","Harker BO",1
"Peninsula JK","Round 1","Calhoun KS",1
"Centennial LP","Round 1","Chandler CS",0
"Peninsula TW","Round 1","Rowland Hall BL",1
"Calhoun KS","Round 1","Peninsula JK",0
"Notre Dame FR","Round 1","Coronado HS",1
"Jesuit Prep BR","Round 1","College Prep DH",1
"Damien MP","Round 1","Cupertino AT",1
"La Costa Canyon YM","Round 1","Interlake YH",1
"Loyola GT","Round 1","East Kentwood BO",1
"Interlake DS","Round 1","College Prep RH",0
"Denver East MM","Round 1","Leland YD",0
"Juan Diego DM","Round 1","OES GR",1
"Polytechnic MH","Round 1","Chaminade CR",1
"Bishop O'Dowd JH","Round 1","University Fresno HT",1
"Brophy SS","Round 1","Head Royce CP",0
"Damien JR","Round 1","Littleton LS",1
"Leland VV","Round 1","Head Royce DL",1
"Jesuit Prep HL","Round 1","Kinkaid BY",1
"S. Eugene LS","Round 1","Sonoma VK",1
"Kent Denver KK","Round 1","Loyola CC",1
"Cypress Bay FM","Round 1","Barstow FN",1
"Greenhill MW","Round 1","Canyon Crest RT",1
"Lionel Wilson HS","Round 1","Harker HS",0
"Whitney Young FB","Round 1","Calhoun BF",1
"New Trier BW","Round 1","Little Rock WW",1
"Whitney Young RJ","Round 1","Walter Payton BC",1
"University Prep CM","Round 1","Bingham KW",1
"University CR","Round 1","Atholton KS",0
"Santa Margarita CW","Round 1","Jesuit Prep LV",0
"USN BW","Round 1","Harker JS",1
"Rowland Hall BL","Round 1","Peninsula TW",0
"Rowland Hall BM","Round 1","Interlake RY",1
"Leland YD","Round 1","Denver East MM",1
"Kinkaid RR","Round 1","College Prep XK",1
"Nevada Union MS","Round 1","Clovis North SM",1
