"team","round","opponent","win"
"Little Rock Central WW","Round 1","Northside CP SJ",1
"Walter Payton BC","Round 1","Lexington ML",1
"Clovis North HP","Round 1","Walter Payton PY",1
"East Kentwood BO","Round 1","Niles West NR",1
"Edgemont JM","Round 1","Eagan SS",1
"Highland Park BD","Round 1","Lexington RZ",1
"Homewood-Flossmoor HL","Round 1","Glenbrook North CR",1
"Peninsula TW","Round 1","Aberdeen Central RJ",1
"Rowland Hall GL","Round 1","Glenbrook South CL",1
"Westminster CK","Round 1","Clovis North SM",1
"Centennial LP","Round 1","Edina WS",1
"Denver Arts School IH","Round 1","Asian Debate League CH",1
"Denver Independent RW","Round 1","Wayzata DD",1
"Glenbrook North BL","Round 1","Wayzata AC",1
"Glenbrook North CR","Round 1","Homewood-Flossmoor HL",0
"Glenbrook South CA","Round 1","Appleton East MR",1
"Glenbrook South RS","Round 1","Washburn HK",1
"Glenbrook South SS","Round 1","Meadows BN",1
"Iowa City West TR","Round 1","Rosemount KS",1
"Iowa City WZ","Round 1","Rosemount BS",1
"Lexington DC","Round 1","Westminster ZB",1
"Lexington RZ","Round 1","Highland Park BD",0
"McDonogh NJ","Round 1","Whitney Young RJ",0
"New Trier BK","Round 1","Asian Debate League CC",1
"Niles West GG","Round 1","Greenhill GR",1
"Peninsula JK","Round 1","Groves GS",1
"Traverse City Central CF","Round 1","Wayzata So",1
"Westminster DH","Round 1","Georgetown Day BS",1
"Whitney Young BF","Round 1","Glenbrook North FT",1
"Whitney Young RJ","Round 1","McDonogh NJ",1
"Bloomington MW","Round 1","Wayzata KS",0
"Calhoun KF","Round 1","Northside CP BE",1
"Edina CS","Round 1","Holy Cross SS",1
"Edina RL","Round 1","Kent Denver KK",1
"Edina WS","Round 1","Centennial LP",0
"Encinitas WW","Round 1","Niles West CB",1
"Glenbrook North FT","Round 1","Whitney Young BF",0
"Glenbrook South BK","Round 1","WDMV HH",0
"Glenbrook South CL","Round 1","Rowland Hall GL",0
"Greenhill WM","Round 1","WDMV DS",1
"Iowa City West BW","Round 1","Highland Park MT",1
"Lexington ML","Round 1","Walter Payton BC",0
"Marist AV","Round 1","Rowland Hall MB",1
"New Trier SH","Round 1","Glenbrook South RF",1
"Niles West NR","Round 1","East Kentwood BO",0
"Niles West SP","Round 1","Eagan LQ",1
"Northside CP BE","Round 1","Calhoun KF",0
"Rowland Hall BL","Round 1","Kent Denver HM",1
"Rowland Hall MB","Round 1","Marist AV",0
"Sioux Falls Lincoln JH","Round 1","BYE",1
"SPASH GM","Round 1","Whitney Young SO",1
"St Paul GS","Round 1","Eagan GP",1
"Wayzata MS","Round 1","Edina KE",1
"Wayzata SH","Round 1","Asian Debate League TS",1
"WDMV HH","Round 1","Glenbrook South BK",1
"Westminster CB","Round 1","Minneapolis South FN",1
"Whitney Young FS","Round 1","Wayzata BH",1
"Whitney Young SO","Round 1","SPASH GM",0
"Berkeley Prep KY","Round 1","Wayzata WG",1
"Berkeley Prep SS","Round 1","Rosemount SF",1
"Brooklyn Independent EW","Round 1","Aberdeen Central PF",0
"Eagan RW","Round 1","Rufus King GR",0
"Georgetown Day BS","Round 1","Westminster DH",0
"Glenbrook South PV","Round 1","Wayzata AJ",1
"Greenhill GR","Round 1","Niles West GG",0
"Groves GS","Round 1","Peninsula JK",0
"Iowa City KK","Round 1","Roosevelt OP",0
"Iowa City West JW","Round 1","Niles West BS",1
"Kent Denver KK","Round 1","Edina RL",0
"Lexington XW","Round 1","BYE",1
"Meadows BN","Round 1","Glenbrook South SS",0
"Niles West TG","Round 1","Bloomington AB",1
"Northside CP SJ","Round 1","Little Rock Central WW",0
"Northside CP VK","Round 1","Roseville Area CH",1
"Roosevelt OP","Round 1","Iowa City KK",1
"Rosemount KS","Round 1","Iowa City West TR",0
"Rufus King GR","Round 1","Eagan RW",1
"Walter Payton MS","Round 1","BYE",1
"Washburn DE","Round 1","Groves GM",1
"Washburn HK","Round 1","Glenbrook South RS",0
"Wayzata AC","Round 1","Glenbrook North BL",0
"Wayzata AJ","Round 1","Glenbrook South PV",0
"Wayzata DD","Round 1","Denver Independent RW",0
"Wayzata KS","Round 1","Bloomington MW",1
"WDMV DS","Round 1","Greenhill WM",0
"Westminster ZB","Round 1","Lexington DC",0
"Aberdeen Central PF","Round 1","Brooklyn Independent EW",1
"Aberdeen Central RJ","Round 1","Peninsula TW",0
"Asian Debate League CC","Round 1","New Trier BK",0
"Asian Debate League CH","Round 1","Denver Arts School IH",0
"Asian Debate League TS","Round 1","Wayzata SH",0
"Clovis North SM","Round 1","Westminster CK",0
"Eagan SS","Round 1","Edgemont JM",0
"Edina KE","Round 1","Wayzata MS",0
"Holy Cross SS","Round 1","Edina CS",0
"Kent Denver HM","Round 1","Rowland Hall BL",0
"Minneapolis South FN","Round 1","Westminster CB",0
"Niles West BS","Round 1","Iowa City West JW",0
"Niles West CB","Round 1","Encinitas WW",0
"Northside CP KS","Round 1","BYE",1
"Walter Payton PY","Round 1","Clovis North HP",0
"Wayzata BH","Round 1","Whitney Young FS",0
"Wayzata So","Round 1","Traverse City Central CF",0
"Wayzata WG","Round 1","Berkeley Prep KY",0
"Appleton East MR","Round 1","Glenbrook South CA",0
"Eagan GP","Round 1","St Paul GS",0
"Eagan LQ","Round 1","Niles West SP",0
"Glenbrook South RF","Round 1","New Trier SH",0
"Groves GM","Round 1","Washburn DE",0
"Highland Park MT","Round 1","Iowa City West BW",0
"Rosemount SF","Round 1","Berkeley Prep SS",0
"Roseville Area CH","Round 1","Northside CP VK",0
"Bloomington AB","Round 1","Niles West TG",0
"Rosemount BS","Round 1","Iowa City WZ",0
"Little Rock Central WW","Round 2","Glenbrook North FT",1
"Walter Payton BC","Round 2","WDMV DS",1
"Clovis North HP","Round 2","Wayzata MS",1
"East Kentwood BO","Round 2","Bloomington AB",1
"Edgemont JM","Round 2","Asian Debate League CH",1
"Highland Park BD","Round 2","Wayzata AC",1
"Homewood-Flossmoor HL","Round 2","Bloomington MW",1
"Peninsula TW","Round 2","Glenbrook South SS",1
"Rowland Hall GL","Round 2","Walter Payton PY",1
"Westminster CK","Round 2","BYE",1
"Centennial LP","Round 2","Greenhill WM",1
"Denver Arts School IH","Round 2","Westminster DH",1
"Denver Independent RW","Round 2","Eagan GP",1
"Glenbrook North BL","Round 2","Lexington XW",1
"Glenbrook North CR","Round 2","Lexington ML",1
"Glenbrook South CA","Round 2","Wayzata So",1
"Glenbrook South RS","Round 2","Rowland Hall BL",1
"Glenbrook South SS","Round 2","Peninsula TW",0
"Iowa City West TR","Round 2","Marist AV",1
"Iowa City WZ","Round 2","Iowa City West JW",1
"Lexington DC","Round 2","Northside CP KS",1
"Lexington RZ","Round 2","Niles West BS",1
"McDonogh NJ","Round 2","BYE",1
"New Trier BK","Round 2","Eagan SS",1
"Niles West GG","Round 2","Edina RL",1
"Peninsula JK","Round 2","Georgetown Day BS",1
"Traverse City Central CF","Round 2","Clovis North SM",1
"Westminster DH","Round 2","Denver Arts School IH",0
"Whitney Young BF","Round 2","Berkeley Prep SS",1
"Whitney Young RJ","Round 2","Asian Debate League TS",1
"Bloomington MW","Round 2","Homewood-Flossmoor HL",0
"Calhoun KF","Round 2","Eagan LQ",1
"Edina CS","Round 2","Glenbrook South RF",1
"Edina RL","Round 2","Niles West GG",0
"Edina WS","Round 2","Berkeley Prep KY",1
"Encinitas WW","Round 2","Washburn DE",1
"Glenbrook North FT","Round 2","Little Rock Central WW",0
"Glenbrook South BK","Round 2","Wayzata SH",1
