"team","round","opponent","win"
"Edgemont JM","Round 1","Loyola GT",1
"GBN JT","Round 1","Brophy SS",1
"Niles West GG","Round 1","MBA KR",1
"Blake SW","Round 1","WDMV HH",1
"Centennial LP","Round 1","Peninsula JK",1
"College Prep JM","Round 1","Milton FM",1
"GBS AC","Round 1","Katy Taylor BI",1
"Iowa City WZ","Round 1","Westminster CB",1
"Law Magnet GJ","Round 1","St. Mark's WG",1
"Lexington SM","Round 1","Hawken YZ",1
"Pace FM","Round 1","Lake Oswego AT",1
"Peninsula TW","Round 1","Bronx Science GM",1
"Rowland Hall LG","Round 1","College Prep KX",1
"St. Mark's KP","Round 1","Mount Vernon MM",1
"Westminster DH","Round 1","Alpharetta KK",0
"Alpharetta KK","Round 1","Westminster DH",1
"Alpharetta WC","Round 1","Cathedral Prep LS",1
"BCC ID","Round 1","Fayetteville MS",1
"BCC YE","Round 1","Meadows BN",1
"Blake NW","Round 1","Pine Crest PR",1
"Carrollton PC","Round 1","Henry W. Grady CW",1
"GBN CR","Round 1","Highland Park (MN) BD",0
"GBN LM","Round 1","USN BW",1
"GBS RS","Round 1","Grapevine BW",1
"Head Royce PC","Round 1","Carrollton BG",1
"Highland Park (MN) BD","Round 1","GBN CR",1
"HoFlo HL","Round 1","Pace MA",1
"ICW TR","Round 1","Calhoun BF",1
"La Costa Canyon YM","Round 1","BYE",1
"Law Magnet GT","Round 1","Head Royce DF",1
"Lexington CD","Round 1","Mountain Brook WS",1
"Little Rock Central WW","Round 1","Woodward AS",1
"MBA KR","Round 1","Niles West GG",0
"McDonogh JN","Round 1","Caddo Magnet CM",1
"Notre Dame CP","Round 1","Bishop Guertin KV",1
"Pine Crest JV","Round 1","Stuyvesant DS",1
"St. Mark's WG","Round 1","Law Magnet GJ",0
"SVDP MH","Round 1","Chattahoochee JN",1
"University BM","Round 1","Holy Cross SD",1
"Walter Payton BC","Round 1","Johns Creek TB",1
"Westminster CK","Round 1","Katy Taylor AL",1
"Woodward BP","Round 1","Paideia RH",1
"Bishop Guertin KV","Round 1","Notre Dame CP",0
"Brophy SS","Round 1","GBN JT",0
"Caddo Magnet CM","Round 1","McDonogh JN",0
"Calhoun KS","Round 1","Westminster GD",1
"Carrollton BG","Round 1","Head Royce PC",0
"GBS SS","Round 1","Isidore Newman AZ",1
"Georgetown Day BQ","Round 1","Ransom Everglades BC",0
"Greenhill KS","Round 1","New Trier BK",0
"Greenhill WM","Round 1","Alpharetta KV",1
"Head Royce DF","Round 1","Law Magnet GT",0
"Johns Creek RL","Round 1","Niles West TP",1
"Katy Taylor BI","Round 1","GBS AC",0
"Leland VV","Round 1","Hawken CL",1
"Lexington ML","Round 1","Northview JK",1
"Loyola GT","Round 1","Edgemont JM",0
"Maine East PS","Round 1","Ransom Everglades FS",1
"MBA CJ","Round 1","Chattahoochee AM",1
"MBA GJ","Round 1","Ft. Lauderdale CW",1
"Milton FM","Round 1","College Prep JM",0
"Milton HH","Round 1","Highland Park (TX) CP",1
"New Trier BK","Round 1","Greenhill KS",1
"New Trier BW","Round 1","Jesuit Prep LV",1
"New Trier HS","Round 1","Carrollton GP",1
"Niles North BB","Round 1","Houston Memorial MS",1
"Peninsula JK","Round 1","Centennial LP",0
"Ransom Everglades BC","Round 1","Georgetown Day BQ",1
"Rowland Hall BB","Round 1","St. Andrew's DZ",1
"WDMV HH","Round 1","Blake SW",0
"Westminster CB","Round 1","Iowa City WZ",0
"Woodward AH","Round 1","ICW TK",1
"Woodward AS","Round 1","Little Rock Central WW",0
"Alpharetta KV","Round 1","Greenhill WM",0
"Bronx Science GM","Round 1","Peninsula TW",0
"Calhoun BF","Round 1","ICW TR",0
"Carrollton GP","Round 1","New Trier HS",0
"Cathedral Prep LS","Round 1","Alpharetta WC",0
"College Prep KX","Round 1","Rowland Hall LG",0
"Ft. Lauderdale CW","Round 1","MBA GJ",0
"Grapevine BW","Round 1","Paideia UL",1
"Grapevine PS","Round 1","GBS RS",0
"Hawken CL","Round 1","Leland VV",0
"Hawken YZ","Round 1","Lexington SM",0
"Henry W. Grady CW","Round 1","Carrollton PC",0
"Highland Park (TX) CP","Round 1","Milton HH",0
"Holy Cross SD","Round 1","University BM",0
"Houston Memorial MS","Round 1","Niles North BB",0
"ICW TK","Round 1","Woodward AH",0
"Jesuit Prep HL","Round 1","Unionville YD",1
"Johns Creek TV","Round 1","Walter Payton BC",0
"Katy Taylor AL","Round 1","Westminster CK",0
"Marist AV","Round 1","Cathedral Prep HK",1
"Meadows BN","Round 1","BCC YE",0
"Niles West TP","Round 1","Johns Creek DR",0
"Pace MA","Round 1","HoFlo HL",0
"Paideia RH","Round 1","Woodward BP",0
"Paideia UL","Round 1","Grapevine BW",0
"Pine Crest PR","Round 1","Blake NW",0
"Stuyvesant DS","Round 1","Pine Crest JV",0
"USN BW","Round 1","GBN LM",0
"Westminster GD","Round 1","Calhoun KS",0
"Cathedral Prep HK","Round 1","Marist AV",0
"Chattahoochee JN","Round 1","SVDP MH",0
"Fayetteville MS","Round 1","BCC ID",0
"Isidore Newman AZ","Round 1","GBS SS",0
"Jesuit Prep LV","Round 1","New Trier BW",0
"Lake Oswego AT","Round 1","Pace FM",0
"Mount Vernon MM","Round 1","St. Mark's KP",0
"Mountain Brook WS","Round 1","Lexington CD",0
"Northview JK","Round 1","Lexington ML",0
"Ransom Everglades FS","Round 1","Maine East PS",0
"St. Andrew's DZ","Round 1","Rowland Hall BB",0
"Unionville YD","Round 1","Jesuit Prep HL",0
"Chattahoochee AM","Round 1","MBA CJ",0
"Edgemont JM","Round 2","MBA GJ",1
"GBN JT","Round 2","Maine East PS",1
"Niles West GG","Round 2","Pine Crest JV",1
"Blake SW","Round 2","Alpharetta WC",1
"Centennial LP","Round 2","MBA CJ",1
"College Prep JM","Round 2","Jesuit Prep HL",1
"GBS AC","Round 2","Georgetown Day BQ",1
"Iowa City WZ","Round 2","Grapevine BW",1
"Law Magnet GJ","Round 2","Woodward AH",1
"Lexington SM","Round 2","ICW TR",1
"Pace FM","Round 2","Walter Payton BC",1
"Peninsula TW","Round 2","University BM",1
"Rowland Hall LG","Round 2","Alpharetta KV",1
"St. Mark's KP","Round 2","Niles North BB",1
"Westminster DH","Round 2","BCC ID",1
"Alpharetta KK","Round 2","St. Andrew's DZ",1
"Alpharetta WC","Round 2","Blake SW",0
"BCC ID","Round 2","Westminster DH",0
"BCC YE","Round 2","Caddo Magnet CM",1
"Blake NW","Round 2","Carrollton PC",1
"Carrollton PC","Round 2","Blake NW",0
"GBN CR","Round 2","Paideia UL",1
"GBN LM","Round 2","Milton HH",0
"GBS RS","Round 2","New Trier HS",1
"Head Royce PC","Round 2","New Trier BW",0
"Highland Park (MN) BD","Round 2","Rowland Hall BB",1
"HoFlo HL","Round 2","Woodward BP",1
"ICW TR","Round 2","Lexington SM",0
"La Costa Canyon YM","Round 2","Notre Dame CP",0
"Law Magnet GT","Round 2","Leland VV",0
"Lexington CD","Round 2","Westminster CK",0
"Little Rock Central WW","Round 2","Marist AV",1
"MBA KR","Round 2","Chattahoochee AM",1
"McDonogh JN","Round 2","Meadows BN",1
"Notre Dame CP","Round 2","La Costa Canyon YM",1
"Pine Crest JV","Round 2","Niles West GG",0
"St. Mark's WG","Round 2","ICW TK",1
"SVDP MH","Round 2","GBS SS",1
"University BM","Round 2","Peninsula TW",0
"Walter Payton BC","Round 2","Pace FM",0
"Westminster CK","Round 2","Lexington CD",1
"Woodward BP","Round 2","HoFlo HL",0
"Bishop Guertin KV","Round 2","BYE",1
"Brophy SS","Round 2","Isidore Newman AZ",1
"Caddo Magnet CM","Round 2","BCC YE",0
"Calhoun KS","Round 2","Northview JK",1
"Carrollton BG","Round 2","Jesuit Prep LV",1
"GBS SS","Round 2","SVDP MH",0
"Georgetown Day BQ","Round 2","GBS AC",0
"Greenhill KS","Round 2","Niles West TP",1
"Greenhill WM","Round 2","College Prep KX",1
"Head Royce DF","Round 2","Hawken CL",1
"Johns Creek RL","Round 2","New Trier BK",0
"Katy Taylor BI","Round 2","Ransom Everglades BC",1
"Leland VV","Round 2","Law Magnet",1
"Lexington ML","Round 2","Westminster GD",1
"Loyola GT","Round 2","Ft. Lauderdale CW",1
"Maine East PS","Round 2","GBN JT",0
"MBA CJ","Round 2","Centennial LP",0
"MBA GJ","Round 2","Edgemont JM",0
"Milton FM","Round 2","Unionville YD",1
"Milton HH","Round 2","GBN LM",1
"New Trier BK","Round 2","Johns Creek DR",1
"New Trier BW","Round 2","Head Royce PC",1
"New Trier HS","Round 2","GBS RS",0
"Niles North BB","Round 2","St. Mark's KP",0
"Peninsula JK","Round 2","Hawken YZ",1
"Ransom Everglades BC","Round 2","Katy Taylor BI",0
"Rowland Hall BB","Round 2","Highland Park (MN) BD",0
"WDMV HH","Round 2","Cathedral Prep LS",1
"Westminster CB","Round 2","Stuyvesant DS",1
"Woodward AH","Round 2","Law Magnet GJ",0
"Woodward AS","Round 2","Cathedral Prep HK",1
"Alpharetta KV","Round 2","Rowland Hall LG",0
"Bronx Science GM","Round 2","Holy Cross SD",1
"Calhoun BF","Round 2","Houston Memorial MS",1
"Carrollton GP","Round 2","Grapevine BW",1
"Cathedral Prep LS","Round 2","WDMV HH",0
"College Prep KX","Round 2","Greenhill WM",0
"Ft. Lauderdale CW","Round 2","Loyola GT",0
"Grapevine BW","Round 2","Iowa City WZ",0
"Grapevine PS","Round 2","Carrollton GP",0
"Hawken CL","Round 2","Head Royce DF",0
"Hawken YZ","Round 2","Peninsula JK",0
"Henry W. Grady CW","Round 2","Pine Crest PR",1
"Highland Park (TX) CP","Round 2","USN BW",1
"Holy Cross SD","Round 2","Bronx Science GM",0
"Houston Memorial MS","Round 2","Calhoun BF",0
"ICW TK","Round 2","St. Mark's WG",0
"Jesuit Prep HL","Round 2","College Prep JM",0
"Johns Creek TV","Round 2","Lake Oswego AT",1
"Katy Taylor AL","Round 2","Fayetteville MS",1
"Marist AV","Round 2","Little Rock Central WW",0
"Meadows BN","Round 2","McDonogh JN",0
"Niles West TP","Round 2","Greenhill KS",0
"Pace MA","Round 2","Paideia RH",1
"Paideia RH","Round 2","Pace MA",0
"Paideia UL","Round 2","GBN CR",0
"Pine Crest PR","Round 2","Henry W. Grady CW",0
"Stuyvesant DS","Round 2","Westminster CB",0
"USN BW","Round 2","Highland Park (TX) CP",0
"Westminster GD","Round 2","Lexington ML",0
"Cathedral Prep HK","Round 2","Woodward AS",0
"Chattahoochee JN","Round 2","Mountain Brook WS",0
"Fayetteville MS","Round 2","Katy Taylor",0
"Isidore Newman AZ","Round 2","Brophy SS",0
"Jesuit Prep LV","Round 2","Carrollton BG",0
"Lake Oswego AT","Round 2","Johns Creek TB",0
"Mount Vernon MM","Round 2","Ransom Everglades FS",0
"Mountain Brook WS","Round 2","Chattahoochee JN",1
"Northview JK","Round 2","Calhoun KS",0
"Ransom Everglades FS","Round 2","Mount Vernon MM",1
"St. Andrew's DZ","Round 2","Alpharetta KK",0
"Unionville YD","Round 2","Milton FM",0
"Chattahoochee AM","Round 2","MBA KR",0
"Edgemont JM","Round 3","Westminster CK",1
"GBN JT","Round 3","SVDP MH",1
"Niles West GG","Round 3","New Trier BK",1
"Blake SW","Round 3","Lexington ML",1
"Centennial LP","Round 3","Leland VV",1
"College Prep JM","Round 3","St. Mark's KP",1
"GBS AC","Round 3","Calhoun KS",1
"Iowa City WZ","Round 3","Blake NW",0
"Law Magnet GJ","Round 3","McDonogh JN",1
"Lexington SM","Round 3","Little Rock Central WW",1
"Pace FM","Round 3","Rowland Hall LG",0
"Peninsula TW","Round 3","Greenhill WM",1
"Rowland Hall LG","Round 3","Pace FM",1
"St. Mark's KP","Round 3","College Prep JM",0
"Westminster DH","Round 3","Mountain Brook WS",1
"Alpharetta KK","Round 3","Milton HH",1
"Alpharetta WC","Round 3","Highland Park (TX) CP",1
"BCC ID","Round 3","Pine Crest JV",1
"BCC YE","Round 3","Highland Park (MN) BD",1
"Blake NW","Round 3","Iowa City WZ",1
"Carrollton PC","Round 3","Katy Taylor AL",1
"GBN CR","Round 3","Pace MA",1
"GBN LM","Round 3","Bronx Science GM",1
"GBS RS","Round 3","HoFlo HL",1
"Head Royce PC","Round 3","Jesuit Prep HL",1
"Highland Park (MN) BD","Round 3","BCC YE",0
"HoFlo HL","Round 3","GBS RS",0
"ICW TR","Round 3","Johns Creek TV",1
"La Costa Canyon YM","Round 3","Woodward AS",1
"Law Magnet GT","Round 3","Henry W. Grady CW",1
"Lexington CD","Round 3","MBA CJ",1
"Little Rock Central WW","Round 3","Lexington SM",0
"MBA KR","Round 3","Calhoun BF",1
"McDonogh JN","Round 3","Law Magnet GJ",0
"Notre Dame CP","Round 3","New Trier BW",1
"Pine Crest JV","Round 3","BCC ID",0
"St. Mark's WG","Round 3","Ransom Everglades BC",1
"SVDP MH","Round 3","GBN JT",0
"University BM","Round 3","Carrollton GP",1
"Walter Payton BC","Round 3","Carrollton BG",1
"Westminster CK","Round 3","Edgemont JM",0
"Woodward BP","Round 3","Niles North BB",1
"Bishop Guertin KV","Round 3","Loyola GT",0
"Brophy SS","Round 3","Milton FM",1
"Caddo Magnet CM","Round 3","USN BW",1
"Calhoun KS","Round 3","GBS AC",0
"Carrollton BG","Round 3","Walter Payton BC",0
"GBS SS","Round 3","Greenhill KS",0
"Georgetown Day BQ","Round 3","Mount Vernon MM",1
"Greenhill KS","Round 3","GBS SS",1
"Greenhill WM","Round 3","Peninsula TW",0
"Head Royce DF","Round 3","Maine East PS",0
"Johns Creek RL","Round 3","ICW TR",0
"Katy Taylor BI","Round 3","Carrollton PC",1
"Leland VV","Round 3","Centennial LP",0
"Lexington ML","Round 3","Blake SW",0
"Loyola GT","Round 3","Bishop Guertin KV",1
"Maine East PS","Round 3","Head Royce DF",1
"MBA CJ","Round 3","Lexington CD",0
"MBA GJ","Round 3","Woodward AH",0
"Milton FM","Round 3","Brophy SS",0
"Milton HH","Round 3","Alpharetta KK",0
"New Trier BK","Round 3","Niles West GG",0
"New Trier BW","Round 3","Notre Dame CP",0
"New Trier HS","Round 3","Grapevine BW",1
"Niles North BB","Round 3","Woodward BP",0
"Peninsula JK","Round 3","WDMV HH",0
"Ransom Everglades BC","Round 3","St. Mark's WG",0
"Rowland Hall BB","Round 3","Marist AV",1
"WDMV HH","Round 3","Peninsula JK",1
"Westminster CB","Round 3","Johns Creek DR",1
"Woodward AH","Round 3","MBA GJ",1
