"team","round","opponent","win"
"SVDP HM","Round 1","Loyola MZ",1
"La Costa Canyon YM","Round 1","Skyline HL",1
"CK McClatchy HN","Round 1","Lionel Wilson AQ",1
"Clovis North HP","Round 1","College Prep NL",1
"College Prep MR","Round 1","Damien CJ",1
"Juan Diego SC","Round 1","Mountain Brook SW",1
"Polytechnic XW","Round 1","Sonoma VK",1
"San Dieguito WW","Round 1","LA Academy PS",1
"Skyline HL","Round 1","La Costa Canyon YM",0
"College Prep DM","Round 1","Torrey Pines ZW",1
"College Prep XK","Round 1","Beckman CC",1
"Juan Diego DM","Round 1","Chaminade CK",1
"Milpitas DT","Round 1","Oakland Tech PT",0
"Oakland Tech PT","Round 1","Milpitas BP",1
"Polytechnic HM","Round 1","Chaminade AL",1
"University CR","Round 1","Peninsula SM",1
"College Prep CG","Round 1","San Marino OL",1
"College Prep HS","Round 1","Milpitas BP",1
"College Prep WH","Round 1","SVDP BH",1
"Damien AY","Round 1","Juan Diego MT",1
"Lionel Wilson HS","Round 1","Peninsula AJ",1
"SVDP PR","Round 1","College Prep DS",1
"Torrey Pines NJ","Round 1","Salem Hills RT",1
"Beckman CC","Round 1","College Prep XK",0
"Bishop O'Dowd JH","Round 1","College Prep PM",1
"Chaminade AL","Round 1","Polytechnic HM",0
"Chaminade CR","Round 1","Salem Hills DP",1
"Clovis North SM","Round 1","Peninsula KT",0
"College Prep PM","Round 1","Bishop O'Dowd JH",0
"Damien RH","Round 1","Torrey Pines YY",1
"Lionel Wilson AQ","Round 1","CK McClatchy HN",0
"Milpitas BP","Round 1","College Prep HS",0
"Nevada Union MS","Round 1","Wallenberg MY",1
"Peninsula KT","Round 1","Clovis North SM",1
"Santa Margarita CW","Round 1","College Prep ZH",1
"Sonoma VK","Round 1","Polytechnic XW",0
"SVDP BH","Round 1","College Prep WH",0
"Torrey Pines YY","Round 1","Damien RH",0
"Torrey Pines ZW","Round 1","College Prep DM",0
"Chaminade CK","Round 1","Juan Diego DM",0
"College Prep DS","Round 1","SVDP PR",0
"College Prep NL","Round 1","Clovis North HP",0
"College Prep ZH","Round 1","Santa Margarita CW",0
"Damien CJ","Round 1","College Prep MR",0
"Diamond Bar CS","Round 1","Loyola CC",1
"Juan Diego MT","Round 1","Damien AY",0
"LA Academy PS","Round 1","San Dieguito WW",0
"Loyola CC","Round 1","Diamond Bar CS",0
"Loyola MZ","Round 1","SVDP HM",0
"Mountain Brook SW","Round 1","Juan Diego SC",0
"Peninsula AJ","Round 1","Lionel Wilson HS",0
"San Dieguito BM","Round 1","Bonita Vista CB",1
"San Marino OL","Round 1","College Prep CG",0
"Sonoma DS","Round 1","Torrey Pines PZ",1
"Torrey Pines LC","Round 1","Salem Hills JP",1
"Torrey Pines PZ","Round 1","Sonoma DS",0
"Peninsula SM","Round 1","University CR",0
"Salem Hills JP","Round 1","Torrey Pines LC",0
"Wallenberg MY","Round 1","Nevada Union MS",0
"Bonita Vista CB","Round 1","San Dieguito BM",0
"Salem Hills DP","Round 1","Chaminade CR",0
"Salem Hills RT","Round 1","Torrey Pines NJ",0
"SVDP HM","Round 2","Chaminade AL",1
"La Costa Canyon YM","Round 2","Bishop O'Dowd JH",1
"CK McClatchy HN","Round 2","SVDP BH",1
"Clovis North HP","Round 2","San Marino OL",1
"College Prep MR","Round 2","Diamond Bar CS",1
"Juan Diego SC","Round 2","Chaminade CR",1
"Polytechnic XW","Round 2","College Prep NL",1
"San Dieguito WW","Round 2","Torrey Pines LC",1
"Skyline HL","Round 2","College Prep XK",1
"College Prep DM","Round 2","Bonita Vista CB",1
"College Prep XK","Round 2","Skyline HL",0
"Juan Diego DM","Round 2","Torrey Pines ZW",1
"Milpitas DT","Round 2","College Prep DS",1
"Oakland Tech PT","Round 2","College Prep PM",0
"Polytechnic HM","Round 2","Clovis North SM",1
"University CR","Round 2","Torrey Pines YY",1
"College Prep CG","Round 2","Mountain Brook SW",1
"College Prep HS","Round 2","Peninsula AJ",1
"College Prep WH","Round 2","Sonoma VK",1
"Damien AY","Round 2","Torrey Pines PZ",1
"Lionel Wilson HS","Round 2","LA Academy PS",1
"SVDP PR","Round 2","Wallenberg MY",1
"Torrey Pines NJ","Round 2","College Prep ZH",1
"Beckman CC","Round 2","San Dieguito BM",1
"Bishop O'Dowd JH","Round 2","La Costa Canyon YM",0
"Chaminade AL","Round 2","SVDP HM",0
"Chaminade CR","Round 2","Juan Diego SC",0
"Clovis North SM","Round 2","Polytechnic HM",0
"College Prep PM","Round 2","Oakland Tech PT",1
"Damien RH","Round 2","Salem Hills RT",1
"Lionel Wilson AQ","Round 2","Peninsula KT",0
"Milpitas BP","Round 2","Salem Hills JP",1
"Nevada Union MS","Round 2","Peninsula SM",1
"Peninsula KT","Round 2","Lionel Wilson AQ",1
"Santa Margarita CW","Round 2","Chaminade CK",1
"Sonoma VK","Round 2","College Prep WH",0
"SVDP BH","Round 2","CK McClatchy HN",0
"Torrey Pines YY","Round 2","University CR",0
"Torrey Pines ZW","Round 2","Juan Diego DM",0
"Chaminade CK","Round 2","Santa Margarita CW",0
"College Prep DS","Round 2","Milpitas DT",0
"College Prep NL","Round 2","Polytechnic XW",0
"College Prep ZH","Round 2","Torrey Pines NJ",0
"Damien CJ","Round 2","Sonoma DS",0
"Diamond Bar CS","Round 2","College Prep MR",0
"Juan Diego MT","Round 2","Loyola CC",0
"LA Academy PS","Round 2","Lionel Wilson HS",0
"Loyola CC","Round 2","Juan Diego MT",1
"Loyola MZ","Round 2","Salem Hills DP",1
"Mountain Brook SW","Round 2","College Prep CG",0
"Peninsula AJ","Round 2","College Prep HS",0
"San Dieguito BM","Round 2","Beckman CC",0
"San Marino OL","Round 2","Clovis North HP",0
"Sonoma DS","Round 2","Damien CJ",1
"Torrey Pines LC","Round 2","San Dieguito WW",0
"Torrey Pines PZ","Round 2","Damien AY",0
"Peninsula SM","Round 2","Nevada Union MS",0
"Salem Hills JP","Round 2","Milipitas BP",0
"Wallenberg MY","Round 2","SVDP PR",1
"Bonita Vista CB","Round 2","College Prep DM",0
"Salem Hills DP","Round 2","Loyola MZ",0
"Salem Hills RT","Round 2","Damien RH",0
"SVDP HM","Round 3","University CR",1
"La Costa Canyon YM","Round 3","Damien RH",1
"CK McClatchy HN","Round 3","Clovis North HP",0
"Clovis North HP","Round 3",NA,1
"College Prep MR","Round 3","Sonoma DS",1
"Juan Diego SC","Round 3","Torrey Pines NJ",1
"Polytechnic XW","Round 3","College Prep DM",0
"San Dieguito WW","Round 3","Collge Prep CG",1
"Skyline HL","Round 3","Loyola CC",1
"College Prep DM","Round 3","Polytechnic XW",0
"College Prep XK","Round 3","Oakland Tech PT",0
"Juan Diego DM","Round 3","Damien AY",1
"Milpitas DT","Round 3","Diamond Bar CS",1
"Oakland Tech PT","Round 3","College Prep XK",1
"Polytechnic HM","Round 3","College Prep HS",1
"University CR","Round 3","SVDP HM",0
"College Prep CG","Round 3","San Dieguito WW",0
"College Prep HS","Round 3","CK McClatchy HN",0
"College Prep WH","Round 3","SVDP PR",1
"Damien AY","Round 3","Juan Diego DM",0
"Lionel Wilson HS","Round 3","Nevada Union MS",1
"SVDP PR","Round 3","College Prep WH",0
"Torrey Pines NJ","Round 3","Juan Diego SC",0
"Beckman CC","Round 3","College Prep PM",1
"Bishop O'Dowd JH","Round 3","San Dieguito BM",1
"Chaminade AL","Round 3","Salem Hills JP",1
"Chaminade CR","Round 3","Torrey Pines LC",1
"Clovis North SM","Round 3","Mountain Brook SW",1
"College Prep PM","Round 3","Beckman CC",0
"Damien RH","Round 3","La Costa Canyon YM",0
"Lionel Wilson AQ","Round 3","Loyola MZ",1
"Milpitas BP","Round 3","Wallenberg MY",1
"Nevada Union MS","Round 3","Lionel Wilson HS",0
"Peninsula KT","Round 3","Santa Margarita CW",0
"Santa Margarita CW","Round 3","Peninsula KT",1
