"team","round","opponent","win"
"BCC ID","Round 1","Groves MS",1
"Centennial LP","Round 1","Strath Haven BM",1
"McDonogh JN","Round 1","ACORN VF",1
"Central Catholic MW","Round 1","Broad Run AN",1
"BCC EH","Round 1","Unionville DY",1
"BCC LY","Round 1","Interlake DS",1
"Berkeley Prep SS","Round 1","Dominion YR",1
"Broad Run DS","Round 1","Brooklyn Debate WR",1
"Brooklyn Independent AE","Round 1","Strath Haven MoBe",1
"Edgemont JM","Round 1","Thomas Jefferson PS",1
"Unionville DY","Round 1","BCC EH",0
"Wilson JS","Round 1","BCC WC",1
"Strath Haven BM","Round 1","Centennial LP",0
"ACORN VF","Round 1","McDonogh JN",0
"Berkeley Prep EL","Round 1","Thomas Jefferson WY",0
"Berkeley Prep NK","Round 1","Strath Haven GM",0
"Broad Run AN","Round 1","Central Catholic MW",0
"Brooklyn Independent WR","Round 1","Broad Run DS",0
"Groves GW","Round 1","Interlake HL",0
"Groves MS","Round 1","BCC ID",0
"Interlake HL","Round 1","Groves GW",1
"Strath Haven GM","Round 1","Berkeley Prep NK",1
"Thomas Jefferson WY","Round 1","Berkeley Prep EL",1
"Groves GL","Round 1","Dominion JG",1
"BCC SW","Round 1","Edgemont CS",1
"Dominion YR","Round 1","Berkeley Prep SS",0
"Edgemont LM","Round 1","ACORN VC",1
"Interlake DS","Round 1","BCC LY",0
"Thomas Jefferson PS","Round 1","Edgemont JM",0
"ACORN VC","Round 1","Edgemont LM",0
"BCC WC","Round 1","Wilson JS",0
"Dominion JG","Round 1","Groves GL",0
"Strath Haven MoBe","Round 1","Brooklyn Independent AE",0
"Edgemont CS","Round 1","BCC SW",0
"BCC ID","Round 2","Edgemont LM",1
"Centennial LP","Round 2","Dominion JG",1
"McDonogh JN","Round 2","Unionville DY",1
"Central Catholic MW","Round 2","Interlake HL",1
"BCC EH","Round 2","Brooklyn Independent WR",1
"BCC LY","Round 2","Berkeley Prep EL",0
"Berkeley Prep SS","Round 2","Wilson JS",1
"Broad Run DS","Round 2","Berkeley Prep NK",1
"Brooklyn Independent AE","Round 2","Thomas Jefferson PS",1
"Edgemont JM","Round 2","Strath Haven MoBe",1
