"team","round","opponent","win"
"SVDP HM","Round 1","Northside BE",1
"Westminster DH","Round 1","Lindbolm TH",1
"Blake SW","Round 1","Greenhill KS",1
"HoFlo HL","Round 1","Woodward AS",1
"Law Magnet JG","Round 1","McDowell WS",1
"Little Rock WW","Round 1","Loyola CC",1
"New Trier BK","Round 1","Jesuit Prep LV",1
"Niles West GG","Round 1","SME MD",1
"Notre Dame PC","Round 1","New Trier HS",1
"Pace FM","Round 1","Wayzata SL",1
"Rowland Hall GL","Round 1","Blake NW",1
"St. Mark's KP","Round 1","West PM",1
"UC Lab CR","Round 1","Kent Denver CR",1
"Westminster CK","Round 1","Denver Arts HI",1
"Alpharetta GK","Round 1","Barstow PD",1
"Bellarmine AP","Round 1","Millard North SB",1
"Blue Valley West BB","Round 1","CPS DH",1
"Carrollton CP","Round 1","Homestead CL",1
"Centennial LP","Round 1","MBA JC",0
"Damien MP","Round 1","Niles West RN",1
"Edgemont JM","Round 1","Cypress Bay VH",1
"GPS AS","Round 1","Niles West BS",1
"Grapevine PS","Round 1","Lexington LM",0
"Greenhill KS","Round 1","Blake SW",0
"Harker SH","Round 1","Carrollton PP",1
"Harker SJ","Round 1","Union JS",1
"Harker WH","Round 1","Millard North HK",0
"Head Royce PC","Round 1","Kinkaid BY",0
"Highland Park BD","Round 1","Washburn Rural WN",1
"Iowa City ZW","Round 1","Alpharetta WC",1
"Kapaun Mt. Carmel CE","Round 1","Walter Payton BC",0
"Kinkaid RR","Round 1","Maine East PS",0
"Kinkaid YB","Round 1","Head Royce PC",1
"Lane Tech VH","Round 1","Meadows BN",1
"MBA JC","Round 1","Centennial LP",1
"MBA RK","Round 1","Okemos RZ",1
"Meadows BN","Round 1","Lane Tech VH",0
"Peninsula TW","Round 1","Carrollton TP",0
"Pine Crest VJ","Round 1","LRC MD",1
"SME MD","Round 1","Niles West GG",0
"St. Mark's GW","Round 1","Munster WD",1
"TCC CF","Round 1","CPS JM",0
"Walter Payton BC","Round 1","Kapaun Mt. Carmel CE",1
"Wayzata JM","Round 1","Thomas Jefferson PS",1
"Whitney Young RJ","Round 1","SME BP",1
"Woodward BP","Round 1","ICW TR",0
"Alpharetta WC","Round 1","Iowa City WC",0
"Bellarmine PS","Round 1","Grapevine WB",0
"Berkeley Prep EL","Round 1","HoFlo MP",1
"Bishop Guertin ST","Round 1","Dowling Catholic CH",1
"Blake NW","Round 1","Rowland Hall GL",0
"Bloomington CW","Round 1","Pace MT",0
"Bronx Science GM","Round 1","East Kentwood OB",1
"BVSW ZF","Round 1","Heartland GM",1
"Cathedral Prep LS","Round 1","Niles North BB",0
"CPS DH","Round 1","Blue Valley West BB",0
"CPS JM","Round 1","TCC CF",1
"Cypress Bay VH","Round 1","Edgemont JM",0
"Denver Arts HI","Round 1","Westminster CK",0
"East Kentwood OB","Round 1","Bronx Science GM",0
"Edina RL","Round 1","OPRF AJ",1
"Edina WS","Round 1","Washburn Rural DS",0
"Evanston FJ","Round 1","CPS FT",1
"GPS MC","Round 1","Cedar Rapids MM",1
"Head Royce FD","Round 1","University Prep CM",1
"Highland GO","Round 1","Mountain Brook SW",0
"ICW TR","Round 1","Woodward BP",1
"Jesuit Prep BR","Round 1","West Bloomfield HH",1
"Jesuit Prep HL","Round 1","South Eugene LS",1
"Jesuit Prep LV","Round 1","New Trier BK",0
"Kent Denver KC","Round 1","Chicago Lab CR",0
"Law Magnet GT","Round 1","Neenah DD",1
"Lexington CD","Round 1","Eric Solorio TB",1
"Lexington LM","Round 1","Grapevine PS",1
"Loyola GT","Round 1","Kapoun Mt. Carmel PY",1
"Maine East PS","Round 1","Kinkaid RR",1
"MBA ZY","Round 1","Perry HH",1
"Millard North HK","Round 1","Harker WH",1
"New Trier WB","Round 1","Bishop Guertin KV",1
"Niles North BB","Round 1","Cathedral Prep LS",1
"Niles West BS","Round 1","GPS AS",0
"Pace MT","Round 1","Bloomington CW",1
"Rufus King GR","Round 1","Whitney Young BF",0
"SME BP","Round 1","Whitney Young RJ",0
"University Prep CM","Round 1","Head Royce FD",0
"Walter Payton MS","Round 1","Wooster CL",1
"Washburn Rural DS","Round 1","Edina WS",1
"Wayzata SL","Round 1","Pace FM",0
"WDMV HH","Round 1","Northside JS",1
"WDMV SD","Round 1","Lane Tech CM",1
"West Bloomfield HH","Round 1","Jesuit Prep BR",0
"Westminster CB","Round 1","Rosemount KS",1
"Westwood HH","Round 1","OPRF PT",0
"Whitney Young BF","Round 1","Rufus King GR",1
"Whitney Young SO","Round 1","Wayzata JA",1
"Woodward AS","Round 1","HoFlo HL",0
"Alpharetta KK","Round 1","Blake BO",1
"Anderson SG","Round 1","Lane Tech BM",1
"Barstow FM","Round 1","Damien JR",1
"Berkeley Prep SS","Round 1","Perry HY",1
"Bishop Guertin KV","Round 1","New Trier WB",0
"Bronx Science DK","Round 1","Cypress Bay MF",0
"Carrollton TP","Round 1","Peninsula TW",1
"CPS FT","Round 1","Evanston FJ",0
"Cypress Bay HK","Round 1","UC Lab WD",1
"Cypress Bay MF","Round 1","Bronx Science DK",1
"Damien AY","Round 1","Kapaun Mt. Carmel HW",1
"Damien JR","Round 1","Barstow FM",0
"Dowling Catholic CH","Round 1","Bishop Guertin ST",0
"Eagan RW","Round 1","West TB",1
"East Kentwood MR","Round 1","Mountain Brook HK",1
"Edina CS","Round 1","Union SG",1
"Ft. Lauderdale CW","Round 1","Mukwonago DA",1
"George Washington AC","Round 1","Rosemont BS",1
"Grapevine WB","Round 1","Bellarmine PS",1
"Greenhill MW","Round 1","UC Lab BJ",0
"Highland Park MM","Round 1","Thomas Jefferson SW",1
"Homestead LS","Round 1","Winston Churchill WM",0
"ICW KT","Round 1","Desert Vista AG",1
"Isidore Newman FL","Round 1","Katy Taylor BK",1
"Isidore Newman ZA","Round 1","Katy Taylor JG",1
"Kapaun Mt. Carmel HW","Round 1","Damien AY",0
"Lindblom TH","Round 1","Westminster DH",0
"Little Rock SC","Round 1","Northside KS",1
"Millard North SB","Round 1","Bellarmine AP",0
"Minneapolis South FN","Round 1","Cathedral Prep HK",1
"Mukwonago MJ","Round 1","Barstow NF",1
"Neenah DD","Round 1","Law Magnet GT",0
"New Trier HS","Round 1","Notre Dame PC",0
"Niles West RN","Round 1","Damien MP",0
"Northside BE","Round 1","SVDP HM",0
"Northside JS","Round 1","WDMV HH",0
"Notre Dame FR","Round 1","Morrison SC",1
"OPRF PT","Round 1","Westwood HH",1
"Pine Crest TC","Round 1","Phoenix Military DL",0
"Sage Ridge KR","Round 1","West AL",1
"South Eugene LS","Round 1","Jesuit Prep HL",0
"Thomas Jefferson PS","Round 1","Wayzata JM",0
"UC Lab BJ","Round 1","Greenhill MW",1
"Union JS","Round 1","Harker SJ",0
"Von Steuben CE","Round 1","Kent Denver CC",1
"Washburn Rural WN","Round 1","Highland Park BD",0
"West AL","Round 1","Sage Ridge KR",0
"West Bloomfield NA","Round 1","SVDP PR",1
"Barstow DP","Round 1","Alpharetta GK",0
"Barstow NF","Round 1","Mukwonago MJ",0
"Blake BO","Round 1","Alpharetta KK",0
"Carrollton PP","Round 1","Harker SH",0
"Cathedral Prep HK","Round 1","Minneapolis South FN",0
"Desert Vista AG","Round 1","ICW KT",0
"Dougherty Valley FF","Round 1","Evanston MM",1
"Evanston MM","Round 1","Dougherty Valley FF",0
"HoFlo MP","Round 1","Berkeley Prep EL",0
"Homestead CL","Round 1","Carrollton CP",0
"Katy Taylor BK","Round 1","Isidore Newman FL",0
"Katy Taylor JG","Round 1","Isidore Newman ZA",1
"Kent Denver CC","Round 1","Von Steuben CE",0
"Lane Tech BM","Round 1","Anderson SG",0
"Lane Tech CM","Round 1","WDMV SD",0
"Little Rock MD","Round 1","Pine Crest VJ",0
"McDowell WS","Round 1","Law Magnet JG",0
"Munster WD","Round 1","St. Marks GW",0
"Northside KS","Round 1","Little Rock SC",0
"Okemos RZ","Round 1","MBA RK",0
"Perry HH","Round 1","MBA ZY",0
"Perry HY","Round 1","Berkeley Prep SS",0
"Phoenix Military DL","Round 1","Pine Crest TC",1
"Rosemount KS","Round 1","Westminster CB",0
"UC Lab WD","Round 1","Cypress Bay HK",0
"Union SG","Round 1","Edina CS",0
"Wayzata JA","Round 1","Whitney Young SO",0
"West PM","Round 1","St Marks KP",0
"Winston Churchill WM","Round 1","Homestead LS",1
"Wooster CL","Round 1","Walter Payton MS",0
"Cedar Rapids MM","Round 1","GPS MC",0
"Eric Solorio LN","Round 1","Rufus King PS",1
"Eric Solorio TB","Round 1","Lexington CD",0
"Loyola CC","Round 1","Little Rock WW",0
"Morrison SC","Round 1","Notre Dame FR",0
"Mountain Brook HK","Round 1","East Kentwood MR",0
"Mountain Brook SW","Round 1","Highland GO",1
"Mukwonago DA","Round 1","Ft. Lauderdale CW",0
"Rufus King PS","Round 1","Eric Solorio LN",0
"SVDP PR","Round 1","West Bloomfield NA",0
"West TB","Round 1","Eagan RW",0
"Heartland GM","Round 1","BVSW ZF",0
"OPRF AJ","Round 1","Edine RL",0
"Rosemount BS","Round 1","George Washington AC",0
"Thomas Jefferson SW","Round 1","Highland Park MM",0
"SVDP HM","Round 2","Mukwonago DA",1
"Westminster DH","Round 2","Head Royce FD",1
"Blake SW","Round 2","Highland GO",1
"HoFlo HL","Round 2","Katy Taylor JG",1
"Law Magnet JG","Round 2","Perry HH",1
"Little Rock WW","Round 2","WDMV SD",1
"New Trier BK","Round 2","West Bloomfield NA",1
"Niles West GG","Round 2","Blake BO",1
"Notre Dame PC","Round 2","Mountain Brook HK",1
"Pace FM","Round 2","Jesuit BR",1
"Rowland Hall GL","Round 2","Bishop Guertin KV",1
"St. Mark's KP","Round 2","UC Lab CR",1
"UC Lab CR","Round 2","St. Mark's KP",0
"Westminster CK","Round 2","Neenah DD",1
"Alpharetta GK","Round 2","McDowell WS",1
"Bellarmine AP","Round 2","MBA ZY",1
"Blue Valley West BB","Round 2","Pine Crest TC",1
"Carrollton CP","Round 2","Washburn Rural WN",1
"Centennial LP","Round 2","Highland Park BD",0
"Damien MP","Round 2","Thomas Jefferson SW",1
"Edgemont JM","Round 2","Phoenix Military DL",1
"GPS AS","Round 2","Kinkaid RR",0
"Grapevine PS","Round 2","Berkeley Prep SS",1
"Greenhill KS","Round 2","Evanston FJ",1
"Harker SH","Round 2","East Kentwood MR",1
"Harker SJ","Round 2","Edina WS",1
"Harker WH","Round 2","Lane Tech BM",1
"Head Royce PC","Round 2","Pine Crest VJ",1
"Highland Park BD","Round 2","Centennial LP",1
"Iowa City ZW","Round 2","Heartland GM",1
"Kapaun Mt. Carmel CE","Round 2","Ft. Lauderdale CW",0
"Kinkaid RR","Round 2","Gulliver AS",1
"Kinkaid YB","Round 2","WDMV HH",1
"Lane Tech VH","Round 2","Katy Taylor BK",1
"MBA JC","Round 2","Washburn Rural DW",1
"MBA RK","Round 2","Northside JS",1
"Meadows BN","Round 2","Highland Park MM",1
"Peninsula TW","Round 2","Cathedral Prep HK",1
"Pine Crest VJ","Round 2","Head Royce PC",0
"SME MD","Round 2","CPS JM",0
"St. Mark's GW","Round 2","Lexington CD",1
"TCC CF","Round 2","Barstow FM",1
"Walter Payton BC","Round 2","Eagan RW",1
"Wayzata JM","Round 2","Northside BE",1
"Whitney Young RJ","Round 2","Minneapolis South FN",1
"Woodward BP","Round 2","Northside KS",1
"Alpharetta WC","Round 2","OPRF AJ",1
"Bellarmine PS","Round 2","Cathedral LS",1
"Berkeley Prep EL","Round 2","South Eugene LS",0
"Bishop Guertin ST","Round 2","Isidore Newman FL",1
"Blake NW","Round 2","Isidore Newman ZA",1
"Bloomington CW","Round 2","Anderson SG",1
"Bronx Science GM","Round 2","BVSW ZF",0
"BVSW ZF","Round 2","Bronx Science GM",1
"Cathedral Prep LS","Round 2","Bellarmine CP PS",0
"CPS DH","Round 2","Lexington LM",0
"CPS JM","Round 2","SME MD",1
"Cypress Bay VH","Round 2","Maine East PS",0
"Denver Arts HI","Round 2","Munster WD",1
"East Kentwood OB","Round 2","Millard North SB",1
"Edina RL","Round 2","Damien JR",0
"Edina WS","Round 2","Harker SJ",0
"Evanston FJ","Round 2","Greenhill KS",0
"GPS MC","Round 2","West TB",0
"Head Royce FD","Round 2","Westminster DH",0
"Highland GO","Round 2","Blake SW",0
"ICW TR","Round 2","West AL",1
"Jesuit Prep BR","Round 2","Pace FM",0
"Jesuit Prep HL","Round 2","Rufus King GR",1
"Jesuit Prep LV","Round 2","Dougherty Valley FF",1
"Kent Denver KC","Round 2","Lindblom TH",0
"Law Magnet GT","Round 2","New Trier BW",0
"Lexington CD","Round 2","St. Mark's GW",0
"Lexington LM","Round 2","CPS DH",1
"Loyola GT","Round 2","Perry HY",1
"Maine East PS","Round 2","Cypress Bay VH",1
"MBA ZY","Round 2","Bellarmine AP",0
"Millard North HK","Round 2","Westminster CB",0
"New Trier WB","Round 2","Law Magnet GT",1
"Niles North BB","Round 2","Okemos RZ",1
"Niles West BS","Round 2","UC Lab WD",1
"Pace MT","Round 2","Churchill WM",1
"Rufus King GR","Round 2","Jesuit CP HL",0
"SME BP","Round 2","ICW KT",0
"University Prep CM","Round 2","Niles West RN",1
"Walter Payton MS","Round 2","Kapuan Mt Caramel HW",1
"Washburn Rural DS","Round 2","MBA JC",0
"Wayzata SL","Round 2","LRC MD",1
"WDMV HH","Round 2","Kinkaid YB",0
"WDMV SD","Round 2","LRC WW",0
"West Bloomfield HH","Round 2","Carrollton PP",1
"Westminster CB","Round 2","Millard North HK",1
"Westwood HH","Round 2","Rosemount KS",1
"Whitney Young BF","Round 2","Desert Vista AG",1
"Whitney Young SO","Round 2","Damien AY",1
"Woodward AS","Round 2","Kapaun Mt. Carmel PY",1
"Alpharetta KK","Round 2","Union SG",1
"Anderson SG","Round 2","Bloomington CW",0
"Barstow FM","Round 2","TCC CF",0
"Berkeley Prep SS","Round 2","Grapevine PS",0
"Bishop Guertin KV","Round 2","Rowland Hall GL",0
"Bronx Science DK","Round 2","Rufus King PS",1
"Carrollton TP","Round 2","Evanston TP",1
"CPS FT","Round 2","Edina CS",0
"Cypress Bay HK","Round 2","SVDP PR",1
"Cypress Bay MF","Round 2","Lane Tech CM",0
"Damien AY","Round 2","Whitney Young SO",0
"Damien JR","Round 2","Edina RL",1
"Dowling Catholic CH","Round 2","OPRF PT",0
"Eagan RW","Round 2","Walter Payton BC",0
"East Kentwood MR","Round 2","Harker SH",0
"Edina CS","Round 2","CPS FT",1
"Ft. Lauderdale CW","Round 2","Kapaun Mt. Carmel CE",1
"George Washington AC","Round 2","Barstow NF",1
"Grapevine WB","Round 2","Notre Dame FR",0
"Greenhill MW","Round 2","Eric Solorio LN",1
"Highland Park MM","Round 2","Meadows BN",0
"Homestead LS","Round 2","West PM",1
"ICW KT","Round 2","SME BP",1
"Isidore Newman FL","Round 2","Bishop Guertin ST",0
"Isidore Newman ZA","Round 2","Blake NW",0
"Kapaun Mt. Carmel HW","Round 2","Walter Payton MS",0
"Lindblom TH","Round 2","Kent Denver KC",1
"Little Rock SC","Round 2","Thomas Jefferson PS",1
"Millard North SB","Round 2","East Kentwood OB",0
"Minneapolis South FN","Round 2","Whitney Young RJ",0
"Mukwonago MJ","Round 2","Kent Denver CC",1
"Neenah DD","Round 2","Westminster CK",0
"New Trier HS","Round 2","Cedar Rapids MM",1
"Niles West RN","Round 2","University Prep CM",0
"Northside BE","Round 2","Wayzata JM",0
"Northside JS","Round 2","MBA RK",0
"Notre Dame FR","Round 2","Grapevine WB",1
"OPRF PT","Round 2","Dowling CH",1
"Pine Crest TC","Round 2","BVW BB",0
"Sage Ridge KR","Round 2","Von Steuben CE",1
"South Eugene LS","Round 2","Berkeley EL",1
"Thomas Jefferson PS","Round 2","LRC SC",0
"UC Lab BJ","Round 2","HoFlo MP",1
"Union JS","Round 2","Homestead CL",1
"Von Steuben CE","Round 2","Sage Ridge KR",0
"Washburn Rural WN","Round 2","Carrollton CP",0
"West AL","Round 2","ICW TR",0
"West Bloomfield NA","Round 2","New Trier BK",0
