"team","round","opponent","win"
"CK McClatchy BF","Round 1","Asian Debate HH",1
"CK McClathcy HN","Round 1","Chaminade AT",1
"Alpharetta KK","Round 1","Harker SJ",1
"Bellarmine AP","Round 1","Asian Debate CH",1
"Brophy SS","Round 1","Lynbrook MC",1
"Juan Diego AB","Round 1","Dougherty Valley FF",1
"Rowland Hall LG","Round 1","Highland JT",1
"Skyline HL","Round 1","Asian Debate CC",1
"Damien MP","Round 1","La Cueva GH",0
"Green Valley SA","Round 1","Harker OB",1
"College Prep DM","Round 1","Kent Denver MC",0
"Highland GO","Round 1","Polytechnic MH",1
"Nevada Union FH","Round 1","Green Valley ST",1
"Nevada Union MS","Round 1","Polytechnic DL",1
"Rowland Hall BL","Round 1","Damien CJ",1
"Rowland Hall MB","Round 1","Brophy GS",1
"Sage Ridge KR","Round 1","Rowland Hall DS",1
"Bingham WW","Round 1","Skyline AA",0
"Loyola GT","Round 1","Canyon Springs WT",1
"Damien JR","Round 1","College Prep NP",1
"Juan Diego DM","Round 1","Coronado CR",1
"Leland DY","Round 1","Bingham SS",1
"Leland VV","Round 1","Palo Verde SS",1
"Lionel Wilson HS","Round 1","Palo Verde QS",1
"Notre Dame FR","Round 1","Harker HW",1
"Bellarmine NP","Round 1","Ingraham KT",1
"College Prep HS","Round 1","Palo Verde WS",1
"Polytechnic WX","Round 1","Rowland Hall BD",1
"Skyline AA","Round 1","Bingham WW",1
"St George's MV","Round 1","Asian Debate CS",1
"Harker SJ","Round 1","Alpharetta KK",0
"Kent Denver MC","Round 1","College Prep DM",1
"Santa Margarita CW","Round 1","West MP",1
"CK McClatchy LP","Round 1","Salpointe Catholic MT",1
"Notre Dame AM","Round 1","West BA",1
"Alpharetta CW","Round 1","Rowland Hall SB",1
"La Cueva GH","Round 1","Damien MP",1
"BASIS Chandler KK","Round 1","Notre Dame PP",1
"Ingraham KT","Round 1","Bellarmine NP",0
"College Prep WZ","Round 1","Centennial TW",1
"Dougherty Valley FF","Round 1","Juan Diego AB",0
"Harker HK","Round 1","Ingraham GW",1
"Harker HS","Round 1","Damien AY",1
"Juan Diego CS","Round 1","Coronado HS",0
"Kent Denver KK","Round 1","SVDP RP",1
"Polytechnic MH","Round 1","Highland GO",0
"West MP","Round 1","Santa Margarita CW",0
"Ingraham GW","Round 1","Harker HK",0
"Bingham SS","Round 1","Leland DY",0
"Green Valley TS","Round 1","Nevada Union FH",0
"Hamilton ZF","Round 1","Juan Diego PM",1
"Harker HW","Round 1","Notre Dame FR",0
"Harker OB","Round 1","Green Valley SA",0
"Loyola CC","Round 1","Centennial MX",1
"OES LJ","Round 1","Lynbrook MK",1
"Palo Verde RS","Round 1","Leland VV",0
"West BA","Round 1","Notre Dame AM",0
"Centennial MX","Round 1","Loyola CC",0
"Brophy GS","Round 1","Rowland Hall MB",0
"College Prep NP","Round 1","Damien JR",0
"Coronado HS","Round 1","Juan Diego CS",1
"Damien AY","Round 1","Harker HS",0
"Damien CJ","Round 1","Rowland Hall LB",0
"Lynbrook MC","Round 1","Brophy SS",0
"Lynbrook MK","Round 1","OES LJ",0
"Notre Dame PP","Round 1","BASIS Chandler KK",0
"OES MZ","Round 1","SVDP HS",1
"OES WS","Round 1","BYE",1
"Palo Verde QS","Round 1","Lionel Wilson HS",0
"Polytechnic DL","Round 1","Nevada Union MS",0
"Rowland Hall BD","Round 1","Polytechnic WX",0
"Rowland Hall DS","Round 1","Sage Ridge KR",0
"SVDP RP","Round 1","Kent Denver KK",0
"Canyon Springs WA","Round 1","Loyola GT",0
"Centennial TW","Round 1","College Prep WZ",0
"Chaminade AT","Round 1","C. K. McClatchy HN",0
"Salpointe Catholic MT","Round 1","CK McClatchy LP",0
"Asian Debate League HH","Round 1","CK McClatchy BF",0
"Asian Debate League CS","Round 1","St George's MV",0
"SVDP HS","Round 1","OES MZ",0
"Asian Debate Leauge CH","Round 1","Bellarmine AP",0
"Palo Verde WS","Round 1","College Prep HS",0
"Asian Debate League CC","Round 1","Skyline HL",0
"Coronado CR","Round 1","Juan Diego DM",0
"Highland JT","Round 1","Rowland Hall LG",0
"Juan Diego PM","Round 1","Hamilton ZF",0
"CK McClatchy BF","Round 2","Juan Diego MP",1
"CK McClathcy HN","Round 2","Santa Margarita CW",1
"Alpharetta KK","Round 2","College Prep DM",1
"Bellarmine AP","Round 2","Juan Diego AB",1
"Brophy SS","Round 2","Loyola CC",1
"Juan Diego AB","Round 2","Bellarmine AP",0
"Rowland Hall LG","Round 2","Kent Denver KK",1
"Skyline HL","Round 2","Centennial WX",1
"Damien MP","Round 2","Ingraham GW",1
"Green Valley SA","Round 2","Nevada Union MS",1
"College Prep DM","Round 2","Alpharetta KK",0
"Highland GO","Round 2","Harker HK",0
"Nevada Union FH","Round 2","Rowland Hall BL",0
"Nevada Union MS","Round 2","Green Valley AS",0
"Rowland Hall BL","Round 2","Nevada Union FH",1
"Rowland Hall MB","Round 2","Notre Dame PP",1
"Sage Ridge KR","Round 2","Notre Dame FR",1
"Bingham WW","Round 2","St. Georges MV",1
"Loyola GT","Round 2","Kent Denver MC",1
"Damien JR","Round 2","St. Vincent PR",1
"Juan Diego DM","Round 2","Asian Debate CS",1
"Leland DY","Round 2","Green Valley TS",1
"Leland VV","Round 2","Rowland Hall DS",1
"Lionel Wilson HS","Round 2","HAmilton ZF",1
"Notre Dame FR","Round 2","Sage Ridge KR",0
"Bellarmine NP","Round 2","West MP",0
"College Prep HS","Round 2","West BA",1
"Polytechnic WX","Round 2","Centennial TW",1
"Skyline AA","Round 2","Coronado CR",1
"St George's MV","Round 2","Bingham WW",0
"Harker SJ","Round 2","Canyon Springs WA",1
"Kent Denver MC","Round 2","Loyola GT",0
"Santa Margarita CW","Round 2","C. K. McClatchy HN",0
"CK McClatchy LP","Round 2","Notre Dame AM",1
"Notre Dame AM","Round 2","CK McClatchy LP",0
"Alpharetta CW","Round 2","Polytechnic DL",1
"La Cueva GH","Round 2","Coronado HS",1
"BASIS Chandler KK","Round 2","Lynbrook MK",1
"Ingraham KT","Round 2","Chaminade AT",1
"College Prep WZ","Round 2","Damien AY",1
"Dougherty Valley FF","Round 2","OES MZ",1
"Harker HK","Round 2","Highland GO",1
"Harker HS","Round 2","Salpointe Catholic MT",1
"Juan Diego CS","Round 2","OES LJ",1
"Kent Denver KK","Round 2","Rowland Hall LG",0
"Polytechnic MH","Round 2","Asian Debate League CH",1
"West MP","Round 2","Bellarmine NP",1
"Ingraham GW","Round 2","Damien MP",0
"Bingham SS","Round 2","Damien CJ",1
"Green Valley TS","Round 2","Leland DY",0
"Hamilton ZF","Round 2","Lionel Wilson HS",0
"Harker HW","Round 2","Palo Verde RS",0
"Harker OB","Round 2","Rowland Hall SB",1
"Loyola CC","Round 2","Brophy SS",0
"OES LJ","Round 2","Juan Diego CS",0
"Palo Verde RS","Round 2","Harker HW",1
"West BA","Round 2","College Prep HS",0
"Centennial MX","Round 2","Skyline HL",0
"Brophy GS","Round 2","OES WS",1
"College Prep NP","Round 2","Highland JT",1
"Coronado HS","Round 2","La Cueva GH",0
"Damien AY","Round 2","College Prep DM",0
"Damien CJ","Round 2","Bingham SS",0
"Lynbrook MC","Round 2","Asian Debate League CC",0
"Lynbrook MK","Round 2","BASIS Chandler KK",0
"Notre Dame PP","Round 2","Rowland Hall MB",0
"OES MZ","Round 2","Dougherty Valley FF",0
"OES WS","Round 2","Brophy GS",0
"Palo Verde QS","Round 2","Asian Debate League HH",1
"Polytechnic DL","Round 2","Alpharetta CW",0
"Rowland Hall BD","Round 2","Palo Verde WS",1
"Rowland Hall DS","Round 2","Leland VV",0
"SVDP RP","Round 2","Damien JR",0
"Canyon Springs WA","Round 2","Harker SJ",0
"Centennial TW","Round 2","Polytechnic WX",0
"Chaminade AT","Round 2","Ingraham KT",0
"Salpointe Catholic MT","Round 2","Harker HS",0
"Asian Debate League HH","Round 2","Palo Verde QS",0
"Asian Debate League CS","Round 2","Juan Diego DM",0
"SVDP HS","Round 2","BYE",1
"Asian Debate Leauge CH","Round 2","Polytechnic MH",0
"Palo Verde WS","Round 2","Rowland Hall BD",0
"Asian Debate League CC","Round 2","Lynbrook MC",0
"Coronado CR","Round 2","Skyline AA",0
"Highland JT","Round 2","College Prep NP",0
"Juan Diego PM","Round 2","CK McClatchy BF",0
"CK McClatchy BF","Round 3","Damien JR",1
"CK McClathcy HN","Round 3","Alpharetta CW",1
"Alpharetta KK","Round 3","Harker HS",1
"Bellarmine AP","Round 3","Skyline AA",1
"Brophy SS","Round 3","Leland DY",1
"Juan Diego AB","Round 3","SVDP HS",1
"Rowland Hall LG","Round 3","Basis Chandler KK",1
"Skyline HL","Round 3","Harker HK",1
"Damien MP","Round 3","OES LJ",1
"Green Valley SA","Round 3","Rowland Hall MB",1
"College Prep DM","Round 3","Asian Debate League CH",1
"Highland GO","Round 3","Loyola CC",1
"Nevada Union FH","Round 3","Palo Verde SQ",1
"Nevada Union MS","Round 3","Harker SJ",1
"Rowland Hall BL","Round 3","College Prep WZ",1
"Rowland Hall MB","Round 3","Green Valley AS",0
"Sage Ridge KR","Round 3","College Prep HS",1
"Bingham WW","Round 3","Hamilton ZF",1
"Loyola GT","Round 3","Polytechnic WX",1
"Damien JR","Round 3","C. K. McClatchy BF",0
"Juan Diego DM","Round 3","Lionel Wilson HS",1
"Leland DY","Round 3","Brophy SS",0
"Leland VV","Round 3","C. K. McClatchy LP",1
"Lionel Wilson HS","Round 3","Juan Diego DM",0
"Notre Dame FR","Round 3","Bingham SS",1
"Bellarmine NP","Round 3","Oregon Episcopal WS",1
"College Prep HS","Round 3","Sage Ridge KR",0
"Polytechnic WX","Round 3","Loyola GT",0
"Skyline AA","Round 3","Bellarmine AP",0
"St George's MV","Round 3","Kent Denver MC",1
"Harker SJ","Round 3","Nevada Union MS",0
"Kent Denver MC","Round 3","St George's MV",0
"Santa Margarita CW","Round 3","Harker HW",0
"CK McClatchy LP","Round 3","Leland VV",0
"Notre Dame AM","Round 3","Palo Verde RS",1
"Alpharetta CW","Round 3","C. K. McClatchy HN",0
"La Cueva GH","Round 3","Polytechnic MH",0
"BASIS Chandler KK","Round 3","Rowland Hall LG",0
"Ingraham KT","Round 3","Coronado HS",1
"College Prep WZ","Round 3","Rowland Hall LB",0
"Dougherty Valley FF","Round 3","Harker OB",1
"Harker HK","Round 3","Skyline HL",0
"Harker HS","Round 3","Alpharetta KK",0
"Juan Diego CS","Round 3","College Prep NP",1
"Kent Denver KK","Round 3","Rowland Hall BD",1
"Polytechnic MH","Round 3","La Cueva GH",1
"West MP","Round 3","OES MZ",1
"Ingraham GW","Round 3","Centennial TW",1
"Bingham SS","Round 3","Notre Dame FR",0
"Green Valley TS","Round 3","Coronado CR",1
"Hamilton ZF","Round 3","Bingham WW",0
"Harker HW","Round 3","Santa Margarita CW",1
"Harker OB","Round 3","Dougherty Valley FF",0
"Loyola CC","Round 3","Highland GO",0
"OES LJ","Round 3","Damien MP",0
"Palo Verde RS","Round 3","Notre Dame AM",0
"West BA","Round 3","Chaminade AT",1
"Centennial MX","Round 3","Polytechnic DL",0
"Brophy GS","Round 3","Lynbrook MC",1
"College Prep NP","Round 3","Juan Diego CS",0
"Coronado HS","Round 3","Ingraham KT",0
"Damien AY","Round 3","Juan Diego PM",1
"Damien CJ","Round 3","Palo Verde WS",1
"Lynbrook MC","Round 3","Brophy GS",0
"Lynbrook MK","Round 3","Highland JT",1
"Notre Dame PP","Round 3","Asian Debate League CC",1
"OES MZ","Round 3","West MP",0
"OES WS","Round 3","Bellarmine NP",0
"Palo Verde QS","Round 3","Nevada Union FH",0
"Polytechnic DL","Round 3","Centennial MX",1
"Rowland Hall BD","Round 3","Kent Denver KK",0
"Rowland Hall DS","Round 3","BYE",1
"SVDP RP","Round 3","Asian Debate League HH",1
"Canyon Springs WA","Round 3","Asian Debate League CS",0
"Centennial TW","Round 3","Ingraham GW",0
"Chaminade AT","Round 3","West BA",0
"Salpointe Catholic MT","Round 3","Rowland Hall SB",0
"Asian Debate League HH","Round 3","SVDP RP",0
