"team","round","opponent","win"
"Rowland Hall GL","Round 1","New Trier DS",1
"St. Mark's KP","Round 1","Niles North BB",1
"Carrollton CP","Round 1","Notre Dame CP",1
"Glenbrook South CA","Round 1","New Trier BK",0
"Glenbrook South SR","Round 1","Lionel Wilson HS",1
"New Trier BK","Round 1","Glenbrook South AC",1
"Peninsula TW","Round 1","Woodward AS",1
"Blake NW","Round 1","Carrollton GB",1
"Blake SW","Round 1","Greenhill KS",0
"Carrollton GB","Round 1","Blake NW",0
"Damien MP","Round 1","Strath Haven GM",1
"East Kentwood BO","Round 1","Westminster CB",1
"Greenhill KS","Round 1","Blake SW",1
"Highland Park (MN) BD","Round 1","Niles West TB",1
"Law Magnet GT","Round 1","Jesuit CP LV",0
"Little Rock Central WW","Round 1","Rowland Hall BB",1
"Marist AV","Round 1","Wayzata KS",1
"Montgomery Bell KR","Round 1","Skyline AA",1
"Notre Dame CP","Round 1","Carrollton CP",0
"Notre Dame FR","Round 1","Carrolton FP",1
"Pace FA","Round 1","Skyline HL",1
"St. Mark's GW","Round 1","Harker HW",1
"University BM","Round 1","Niles North WM",0
"Wayzata JM","Round 1","HoFlo HL",1
"Westminster CK","Round 1","Woodward PB",1
"BVSW LH","Round 1","Lexington ML",1
"BVSW ZF","Round 1","Highland Park (TX) CM",1
"Jesuit CP BR","Round 1","Westminster KD",0
"Jesuit CP HL","Round 1","Midway KK",1
"New Trier BW","Round 1","Berkner RD",1
"New Trier DS","Round 1","Rowland Hall GL",0
"Niles West GG","Round 1","Bishop Guertin KV",0
"Westminster KD","Round 1","Jesuit BR",1
"Woodward AH","Round 1","Westminster RD",1
"Damien JR","Round 1","Midway CH",1
"Harker SH","Round 1","Georgetown Day BQ",1
"HoFlo HL","Round 1","Wayzata JM",0
"Montgomery Bell GJ","Round 1","Niles North CL",1
"Niles North BB","Round 1","St Marks KP",0
"Niles North WM","Round 1","University BM",1
"Westminster RD","Round 1","Woodward AH",0
"Woodward PB","Round 1","Westminster CK",0
"Westminster CB","Round 1","East Kentwood BO",0
"Bishop Guertin KV","Round 1","Niles West GG",1
"Calhoun BF","Round 1","Kapaun Mt. Carmel HE",1
"Harker HW","Round 1","St Marks GW",0
"Harker SJ","Round 1","Berkeley Prep MY",1
