"","aff","aff_speaks","neg","neg_speaks","win"
"1","15516,15517",57,"24613,23279",54.5,"1"
"2","26471,22723",54,"15645,22801",56.5,"0"
"3","24517,9202",55,"23088,23087",57.5,"0"
"4","22755,15601",57,"26563,15534",55,"1"
"5","15464,26476",55,"22738,22739",57.5,"0"
"6","19582,22770",57.5,"22876,26483",56,"1"
"7","8399,22795",56,"15599,15603",57,"0"
"8","26673,24863",55.5,"26485,24588",56,"0"
"9","23366,26486",55,"24609,24608",56,"0"
"10","24709,24712",55.5,"23357,23355",55,"1"
"11","23157,26634",54,"22775,15448",56.5,"0"
"12","24695,15704",56,"26678,26685",53,"1"
"13","26675,26676",54.5,"24694,24693",55,"0"
"14","24575,23046",55,"26490,26489",55,"0"
"15","26456,24567",54.5,"26739,26680",54,"0"
"16","26633,15488",57.5,"23394,23393",56.5,"1"
"17","22875,22877",53,"22830,22827",56.5,"0"
"18","16210,15591",55,"15487,26635",55,"1"
"19","24680,24682",54,"22818,26477",55.5,"1"
"20","15592,22757",56.5,"23007,23005",55.5,"1"
"21","26571,22944",54.5,"24610,15535",56,"0"
"22","26569,26570",54,"26484,24624",-71,"0"
"23","23093,26531",55.5,"26479,25805",55,"0"
"24","24721,22881",55.5,"24611,15531",54,"1"
"25","16884,15639",55.5,"26564,26566",55,"1"
"26","20681,23132",57,"26568,23008",52,"1"
"27","26565,24612",55,"24541,15519",56.5,"0"
"28","22738,22739",56.5,"26456,24567",55,"1"
"29","22818,26477",55.5,"26633,15488",57,"0"
"30","24610,15535",55.5,"15516,15517",56,"0"
"31","26484,24624",-71,"24709,24712",56,"0"
"32","24611,15531",54,"24695,15704",56,"0"
"33","24541,15519",57,"16210,15591",56,"1"
"34","22775,15448",56,"23093,26531",55.5,"1"
"35","23088,23087",57,"23366,26486",55,"1"
"36","15599,15603",58,"24575,23046",56,"1"
"37","26479,25805",56,"24517,9202",56,"1"
"38","24694,24693",56,"16884,15639",55,"1"
"39","22830,22827",56.5,"19582,22770",57,"0"
"40","26485,24588",56.5,"15592,22757",56.5,"1"
"41","26739,26680",54,"15478,118",55,"0"
"42","24609,24608",56.5,"20681,23132",56.5,"0"
"43","15645,22801",55.5,"22755,15601",55.5,"0"
"44","26490,26489",54,"15464,26476",55,"0"
"45","23007,23005",52,"8399,22795",55,"0"
"46","26568,23008",54.5,"26673,24863",55.5,"0"
"47","26564,26566",55,"23157,26634",55.5,"1"
"48","26678,26685",54.5,"26565,24612",54.5,"0"
"49","23357,23355",54.5,"24721,22881",55,"0"
"50","24613,23279",55,"26569,26570",54,"1"
"51","26563,15534",53.5,"22875,22877",55.5,"0"
"52","23394,23393",56,"26571,22944",56,"1"
"53","22876,26483",56.5,"24680,24682",54.5,"1"
"54","15487,26635",55.5,"26675,26676",53.5,"1"
"55","23357,23355",55,"23366,26486",55,"1"
"56","15645,22801",56,"26565,24612",53.5,"1"
"57","15464,26476",55,"8399,22795",55,"1"
"58","26484,24624",56.5,"15487,26635",56,"1"
"59","16884,15639",56,"26673,24863",55,"1"
"60","24517,9202",55.5,"26678,26685",55,"1"
"61","24611,15531",54,"24575,23046",54.5,"0"
"62","23093,26531",56.5,"26569,26570",54,"1"
"63","26568,23008",54.5,"24610,15535",56.5,"0"
"64","26571,22944",54.5,"26563,15534",54.5,"1"
"65","23157,26634",54,"26456,24567",55,"0"
"66","22875,22877",54.5,"23394,23393",55,"1"
"67","26675,26676",54.5,"22818,26477",55.5,"0"
"68","26479,25805",56.5,"26633,15488",56.5,"0"
"69","16210,15591",56.5,"26564,26566",54,"1"
"70","22876,26483",54,"26490,26489",54,"1"
"71","15599,15603",57.5,"26471,22723",54.5,"1"
"72","19582,22770",58,"24721,22881",56,"1"
"73","22738,22739",57,"24694,24693",56,"1"
"74","24709,24712",56.5,"24541,15519",56.5,"0"
"75","20681,23132",56,"24695,15704",56.5,"0"
"76","22755,15601",58.5,"15516,15517",57.5,"1"
"77","26485,24588",56.5,"22775,15448",56.5,"0"
"78","23007,23005",55,"22830,22827",55.5,"0"
"79","15592,22757",57,"26739,26680",55,"1"
"80","24680,24682",55,"24609,24608",56,"0"
"81","15478,118",55.5,"23088,23087",57,"0"
"82","22830,22827",56,"15478,118",56,"0"
"83","8399,22795",55.5,"24709,24712",56,"0"
"84","24694,24693",57,"22876,26483",57,"1"
"85","15487,26635",54,"26479,25805",55.5,"0"
"86","24721,22881",55.5,"26484,24624",55.5,"1"
"87","22818,26477",56,"16210,15591",56.5,"1"
"88","26673,24863",55,"15645,22801",54.5,"0"
"89","24575,23046",56,"26485,24588",56,"0"
"90","26456,24567",55,"20681,23132",56.5,"0"
"91","26564,26566",54,"15592,22757",56,"0"
"92","24695,15704",57,"15599,15603",57,"0"
"93","22775,15448",56.5,"19582,22770",57,"0"
"94","24541,15519",57,"22738,22739",58.5,"0"
"95","23088,23087",58,"24613,23279",54.5,"1"
"96","26633,15488",56,"22755,15601",57.5,"0"
"97","24609,24608",55.5,"15464,26476",55.5,"0"
"98","23366,26486",54,"23157,26634",54.5,"0"
"99","26563,15534",55.5,"26568,23008",54.5,"1"
"100","26569,26570",54.5,"26675,26676",55,"0"
"101","26678,26685",55,"23007,23005",54.5,"0"
"102","23394,23393",55,"24680,24682",55.5,"1"
"103","26739,26680",54,"23357,23355",55,"0"
"104","26490,26489",54,"24517,9202",55,"1"
"105","26471,22723",54,"23093,26531",56,"0"
"106","15516,15517",56.5,"22875,22877",-71,"1"
"107","24610,15535",56,"16884,15639",56,"0"
"108","26565,24612",54,"26571,22944",54,"0"
"109","26563,15534",54,"26678,26685",55,"0"
"110","23394,23393",56,"26484,24624",56,"1"
"111","23093,26531",55.5,"22818,26477",55,"1"
"112","26471,22723",54.5,"24575,23046",54.5,"0"
"113","24517,9202",55,"24611,15531",56.5,"0"
"114","26739,26680",54.5,"8399,22795",54.5,"0"
"115","26673,24863",55,"26565,24612",55,"1"
"116","26564,26566",54,"15487,26635",55.5,"0"
"117","23007,23005",55,"24680,24682",54.5,"1"
"118","26568,23008",57.5,"23366,26486",57.5,"1"
"119","22875,22877",-71,"24610,15535",56.5,"0"
"120","22876,26483",55.5,"24613,23279",53,"1"
"121","26456,24567",56,"26675,26676",56,"1"
"122","24541,15519",57,"15478,118",57,"1"
"123","15592,22757",55.5,"22738,22739",56.5,"0"
"124","24609,24608",56,"23357,23355",54.5,"1"
"125","22755,15601",56.5,"23088,23087",57,"0"
"126","15464,26476",55.5,"26633,15488",55.5,"0"
"127","15599,15603",56.5,"19582,22770",57,"0"
"128","24721,22881",54.5,"20681,23132",55.5,"0"
"129","22775,15448",56.5,"16884,15639",55.5,"1"
"130","15645,22801",55,"24695,15704",56,"0"
"131","26485,24588",56.5,"26479,25805",56.5,"1"
"132","24694,24693",55.5,"24709,24712",55.5,"0"
"133","22830,22827",56,"26490,26489",55,"1"
"134","23157,26634",55.5,"16210,15591",56.5,"0"
"135","15516,15517",57,"26571,22944",53.5,"1"
"136","24680,24682",54,"23157,26634",54,"0"
"137","15487,26635",55,"26563,15534",55,"0"
"138","24613,23279",53.5,"26673,24863",54.5,"1"
"139","22818,26477",57,"26569,26570",54.5,"1"
"140","26565,24612",54.5,"24517,9202",55.5,"0"
"141","26675,26676",56,"26568,23008",53,"0"
"142","26678,26685",55.5,"26564,26566",54.5,"1"
"143","23366,26486",56.5,"26471,22723",54,"1"
"144","24575,23046",55.5,"23007,23005",54.5,"1"
"145","26571,22944",55,"26739,26680",55,"1"
"146","23357,23355",56,"22830,22827",56,"1"
"147","16210,15591",56,"15464,26476",55,"1"
"148","8399,22795",54,"26456,24567",55,"0"
"149","22738,22739",57,"15599,15603",57,"0"
"150","26490,26489",54,"24694,24693",56,"0"
"151","24610,15535",56.5,"24721,22881",56.5,"1"
"152","23088,23087",57,"15516,15517",56.5,"1"
"153","26633,15488",56,"24609,24608",56,"0"
"154","20681,23132",53,"22755,15601",57,"0"
