Size,Pairings,Type,undef_champ,top_champ,top_k_found,precision,precision_at_k,avg_prec,dcg,ndcg,tau,rho
Small,Swiss,Mean,0.27,0.298,0.80175,3.20E-01,0.5,4.40E-01,2.32E+00,5.00E-01,0.534721,0.691475
Medium,Swiss,Mean,0.646,0.646,0.886,1.40E-01,0.25,1.63E-01,8.33E-01,1.80E-01,0.51708,0.681168
Large,Swiss,Mean,0.718,0.718,0.97325,6.45E-02,0.25,2.04E-01,1.63E+00,3.52E-01,0.494579,0.644122
Extra Large,Swiss,Mean,0.658,0.658,0.9535,3.76E-02,0,3.85E-02,0.00E+00,0.00E+00,0.4293,0.566814
Small,Random,Mean,0.266,0.302,0.8095,3.20E-01,0.5,4.40E-01,2.32E+00,5.00E-01,0.537547,0.694501
Medium,Random,Mean,0.618,0.618,0.886,1.40E-01,0.25,1.63E-01,8.33E-01,1.80E-01,0.515232,0.680377
Large,Random,Mean,0.662,0.662,0.9705,6.45E-02,0.25,2.04E-01,1.63E+00,3.52E-01,0.491716,0.642095
Extra Large,Random,Mean,0.658,0.658,0.95175,3.76E-02,0,3.85E-02,0.00E+00,0.00E+00,0.422051,0.559982
Small,Swiss,SD,0.444404,0.457838,0.123018,4.00E-15,0,3.83E-15,2.67E-15,2.67E-15,0.060578,0.064978
Medium,Swiss,SD,0.478688,0.478688,0.104407,8.89E-16,0,3.33E-16,4.89E-15,2.19E-15,0.038193,0.040372
Large,Swiss,SD,0.450424,0.450424,0.057094,8.06E-16,0,2.78E-17,8.00E-15,1.11E-16,0.038066,0.039656
Extra Large,Swiss,SD,0.474855,0.474855,0.072704,1.39E-17,0,2.78E-17,0.00E+00,0.00E+00,0.060317,0.064559
Small,Random,SD,0.442307,0.459585,0.120369,4.00E-15,0,3.83E-15,2.67E-15,2.67E-15,0.061831,0.067698
Medium,Random,SD,0.486363,0.486363,0.107655,8.89E-16,0,3.33E-16,4.89E-15,2.19E-15,0.034513,0.03786
Large,Random,SD,0.473502,0.473502,0.057108,8.06E-16,0,2.78E-17,8.00E-15,1.11E-16,0.028034,0.030795
Extra Large,Random,SD,0.474855,0.474855,0.071333,1.39E-17,0,2.78E-17,0.00E+00,0.00E+00,0.037336,0.043259
