Pairings,Type,m,undef_champ,top_champ,sq_loss,top_k_found,tau,rho,
Swiss,Mean,3,0.6180,3.8205,0.9829,0.4908,0.6286,,
Swiss,Mean,4,0.6040,4.2163,0.9099,0.4618,0.5934,,
Swiss,Mean,5,0.5620,4.1705,0.8233,0.4625,0.6019,,
Swiss,Mean,6,0.4300,4.1639,0.7663,0.4568,0.6033,,
Swiss,Mean,7,0.4060,4.7224,0.5866,0.4141,0.5511,,
Swiss,Mean,8,0.4120,3.6903,0.7036,0.5006,0.6508,,
Swiss,Mean,9,0.8360,4.1528,0.6158,0.4592,0.6074,,
Swiss,SD,3,0.4859,0.5906,0.0316,0.0504,0.0578,,
Swiss,SD,4,0.4891,0.6638,0.0635,0.0547,0.0643,,
Swiss,SD,5,0.4961,0.5141,0.0718,0.0443,0.0489,,
Swiss,SD,6,0.4951,0.5254,0.0760,0.0431,0.0502,,
Swiss,SD,7,0.4911,0.5449,0.0901,0.0446,0.0517,,
Swiss,SD,8,0.4922,0.3865,0.0994,0.0341,0.0365,,
Swiss,SD,9,0.3703,0.4323,0.0982,0.0365,0.0409,,
Random,Mean,3,0.276,0.276,5.698407,0.962625,0.343736,0.440682,
Random,Mean,4,0.706,0.706,3.714427,0.953375,0.505352,0.642908,
Random,Mean,5,0.494,0.494,4.462887,0.822375,0.436182,0.573246,
Random,Mean,6,0.514,0.518,4.245929,0.6755,0.453719,0.595732,
Random,Mean,7,0.602,0.606,4.554235,0.626625,0.429666,0.56794,
Random,Mean,8,0.036,0.036,3.561895,0.652375,0.508549,0.663282,
Random,Mean,9,0.252,0.258,4.463792,0.540125,0.432859,0.578285,
Random,SD,3,0.447464,0.447464,0.722285,0.043901,0.058655,0.070972,
Random,SD,4,0.456048,0.456048,0.603927,0.048197,0.051296,0.058375,
Random,SD,5,0.500465,0.500465,0.559931,0.072341,0.044166,0.053805,
Random,SD,6,0.500305,0.500176,0.470686,0.073258,0.038202,0.044932,
Random,SD,7,0.489976,0.489124,0.438894,0.083218,0.035226,0.041579,
Random,SD,8,0.186477,0.186477,0.302331,0.071501,0.026769,0.028522,
Random,SD,9,0.434596,0.437972,0.382072,0.094754,0.031594,0.036054,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
