Pairings,Type,dist,undef_champ,top_champ,sq_loss,top_k_found,tau,rho
Swiss,Mean,lognorm,0.736,0.736,3.759841,0.789875,0.49438,0.642361
Swiss,Mean,exp,0.622,0.622,2.952155,0.839,0.556728,0.719639
Swiss,Mean,beta,0.66,0.662,3.998796,0.757875,0.47765,0.618974
Swiss,Mean,gamma,0.28,0.284,4.539559,0.7595,0.431226,0.567013
Swiss,Mean,unif,0.114,0.114,5.160751,0.588125,0.382506,0.508691
Swiss,SD,lognorm,0.194304,0.194304,0.475105,0.075256,0.039651,0.045291
Swiss,SD,exp,0.235116,0.235116,0.291701,0.073287,0.028976,0.027638
Swiss,SD,beta,0.2244,0.223756,0.591874,0.096235,0.048113,0.056751
Swiss,SD,gamma,0.2016,0.203344,0.544978,0.088938,0.044089,0.052064
Swiss,SD,unif,0.101004,0.101004,0.59718,0.092073,0.047917,0.056593
Random,Mean,lognorm,0.714,0.714,4.616047,0.692375,0.420907,0.560242
Random,Mean,exp,0.27,0.272,4.667716,0.648625,0.419364,0.556189
Random,Mean,beta,0.288,0.304,5.465426,0.60425,0.3581,0.47813
Random,Mean,gamma,0.474,0.484,4.610185,0.7305,0.426009,0.559503
Random,Mean,unif,0.52,0.528,4.836311,0.655,0.407023,0.537539
Random,SD,lognorm,0.204204,0.204204,0.518993,0.074655,0.040669,0.049572
Random,SD,exp,0.1971,0.198016,0.508416,0.074529,0.042248,0.048255
Random,SD,beta,0.205056,0.211584,0.627585,0.094752,0.048651,0.060168
Random,SD,gamma,0.249324,0.249744,0.705916,0.105407,0.055535,0.067755
Random,SD,unif,0.2496,0.249216,0.763315,0.110607,0.058862,0.073601
