Pairings,Type,m,undef_champ,top_champ,top_k_found,precision,precision_at_k,avg_prec,dcg,ndcg,tau,rho
Swiss,Mean,3,0.49,0.51,0.459125,2.58E-01,0.3125,2.92E-01,1.85E+00,2.69E-01,0.419104,0.566363
Swiss,Mean,4,0.71,0.71,0.987375,2.58E-01,0.4375,4.15E-01,2.89E+00,4.21E-01,0.458513,0.584329
Swiss,Mean,5,0.756,0.756,0.87325,2.58E-01,0.4375,3.88E-01,2.64E+00,3.85E-01,0.357028,0.46569
Swiss,Mean,6,0.41,0.41,0.871375,2.50E-01,0.3125,2.40E-01,1.68E+00,2.45E-01,0.472967,0.61684
Swiss,Mean,7,0.326,0.326,0.748,2.76E-01,0.25,3.49E-01,2.20E+00,3.20E-01,0.440093,0.586581
Swiss,Mean,8,0.546,0.548,0.8615,2.86E-01,0.125,3.02E-01,1.63E+00,2.38E-01,0.567612,0.726235
Swiss,Mean,9,0.408,0.414,0.645375,2.62E-01,0.125,1.92E-01,6.05E-01,8.81E-02,0.516133,0.679175
Swiss,SD,3,0.500401,0.500401,0.092251,3.22E-15,0,1.67E-15,8.45E-15,1.00E-15,0.040662,0.044037
Swiss,SD,4,0.454216,0.454216,0.026631,3.22E-15,0,4.45E-15,2.53E-14,2.39E-15,0.057994,0.067118
Swiss,SD,5,0.429923,0.429923,0.068168,3.22E-15,0,3.61E-15,2.27E-14,2.83E-15,0.05395,0.065157
Swiss,SD,6,0.492326,0.492326,0.079694,0.00E+00,0,1.31E-15,7.33E-15,1.78E-15,0.046769,0.054562
Swiss,SD,7,0.469217,0.469217,0.077814,2.78E-15,0,2.56E-15,9.78E-15,3.33E-16,0.042956,0.048717
Swiss,SD,8,0.498378,0.498189,0.078971,1.56E-15,0,8.89E-16,8.00E-15,1.92E-15,0.032063,0.032867
Swiss,SD,9,0.491955,0.493042,0.089351,2.44E-15,0,2.36E-15,3.33E-16,6.53E-16,0.031145,0.032318
Random,Mean,3,0.042,0.042,0.5745,2.76E-01,0.3125,3.38E-01,1.93E+00,2.81E-01,0.473992,0.644294
Random,Mean,4,0.944,0.944,0.981125,2.62E-01,0.3125,3.13E-01,2.08E+00,3.03E-01,0.466409,0.594161
Random,Mean,5,0.398,0.398,0.902625,2.50E-01,0.3125,3.01E-01,1.82E+00,2.66E-01,0.419587,0.547811
Random,Mean,6,0.642,0.642,0.866,2.54E-01,0.3125,3.01E-01,1.82E+00,2.66E-01,0.499884,0.649698
Random,Mean,7,0.192,0.194,0.719625,2.58E-01,0.125,2.06E-01,5.68E-01,8.28E-02,0.433947,0.58106
Random,Mean,8,0.846,0.846,0.736875,2.54E-01,0.3125,3.30E-01,2.00E+00,2.91E-01,0.47296,0.622461
Random,Mean,9,0.862,0.862,0.765,3.14E-01,0.3125,2.93E-01,1.55E+00,2.26E-01,0.505744,0.673075
Random,SD,3,0.20079,0.20079,0.088987,2.78E-15,0,1.61E-15,1.09E-14,2.78E-16,0.02964,0.031352
Random,SD,4,0.230152,0.230152,0.032796,2.44E-15,0,3.11E-15,1.29E-14,3.28E-15,0.051799,0.0613
Random,SD,5,0.489976,0.489976,0.062645,0.00E+00,0,8.34E-16,1.42E-14,1.33E-15,0.047174,0.0566
Random,SD,6,0.479892,0.479892,0.060244,8.34E-16,0,2.50E-15,2.00E-15,1.06E-15,0.035509,0.0404
Random,SD,7,0.394268,0.395825,0.089484,3.22E-15,0,1.31E-15,5.00E-15,2.22E-16,0.03802,0.045718
Random,SD,8,0.36131,0.36131,0.086822,8.34E-16,0,2.17E-15,6.22E-15,5.56E-16,0.038004,0.044171
Random,SD,9,0.345245,0.345245,0.086924,9.45E-16,0,2.78E-16,4.67E-15,7.50E-16,0.028178,0.03029
