Size,Pairings,Type,undef_champ,top_champ,top_k_found,precision,precision_at_k,avg_prec,dcg,ndcg,tau,rho
Small,Swiss,Mean,0.198,0.202,0.7345,2.50E-01,0.25,2.40E-01,8.87E-01,1.91E-01,0.49077,645253
Medium,Swiss,Mean,0.23,0.23,0.761,1.38E-01,0.125,1.31E-01,3.56E-01,7.68E-02,0.465368,602154
Large,Swiss,Mean,0.85,0.85,0.9865,6.72E-02,0.25,2.21E-01,1.39E+00,2.99E-01,0.552047,713734
Extra Large,Swiss,Mean,0.522,0.522,0.88575,3.33E-02,0,2.42E-02,0.00E+00,0.00E+00,0.51652,670263
Small,Random,Mean,0.172,0.178,0.73375,2.50E-01,0.25,2.40E-01,8.87E-01,1.91E-01,0.486445,640292
Medium,Random,Mean,0.178,0.18,0.74925,1.38E-01,0.125,1.31E-01,3.56E-01,7.68E-02,0.464938,602519
Large,Random,Mean,0.848,0.848,0.983,6.72E-02,0.25,2.21E-01,1.39E+00,2.99E-01,0.547008,709345
Extra Large,Random,Mean,0.488,0.488,0.886,3.33E-02,0,2.42E-02,0.00E+00,0.00E+00,0.509324,664203
Small,Swiss,SD,0.398891,0.401894,0.105032,0.00E+00,0,2.42E-15,6.22E-15,1.83E-15,0.046828,51177
Medium,Swiss,SD,0.421254,0.421254,0.101054,1.39E-15,0,4.17E-16,2.17E-15,6.81E-16,0.043548,50962
Large,Swiss,SD,0.357429,0.357429,0.041938,1.94E-16,0,1.94E-15,3.78E-15,7.22E-16,0.030986,29846
Extra Large,Swiss,SD,0.500016,0.500016,0.104583,2.78E-17,0,2.08E-16,0.00E+00,0.00E+00,0.047561,46436
Small,Random,SD,0.377758,0.382896,0.108585,0.00E+00,0,2.42E-15,6.22E-15,1.83E-15,0.043122,47995
Medium,Random,SD,0.382896,0.384572,0.109794,1.39E-15,0,4.17E-16,2.17E-15,6.81E-16,0.043038,49679
Large,Random,SD,0.35938,0.35938,0.045718,1.94E-16,0,1.94E-15,3.78E-15,7.22E-16,0.021973,22988
Extra Large,Random,SD,0.500357,0.500357,0.100744,2.78E-17,0,2.08E-16,0.00E+00,0.00E+00,0.023502,0.024616
